Eolica,Fotovoltaica,Biomasa,Carboelectrica,Ciclo Combinado,Combustion Interna,Geotermoelectrica,Hidroelectrica,Nucleoelectrica,Termica Convencional,Turbo Gas,Fecha Hora
1747.966,0.3215,24.4237,1180.4288,18658.4627,253.2421,410.1349,1182.0559,1535.347,1091.3204,1032.0504,01/01/2025 01:00
1597.6536,0.0036,18.8384,1199.3042,18779.5338,241.8716,409.1847,611.453,1536.3536,1079.7615,1035.1921,01/01/2025 02:00
1533.2132,0.0044,22.0785,1196.5549,18203.352,244.83,407.9137,596.833,1537.6858,1079.2359,1055.4626,01/01/2025 03:00
1506.4886,0.0042,20.3536,1195.7381,17670.7093,238.7929,408.8735,527.7574,1537.9342,1069.85,1056.9175,01/01/2025 04:00
1439.5174,0.0039,13.4816,1193.4567,17101.5946,247.8225,401.3691,526.3806,1537.8374,1067.8329,1052.9461,01/01/2025 05:00
1462.3622,0.0034,7.0351,1195.4131,16810.8518,260.0417,407.0067,520.7201,1538.0106,1055.7007,1052.3713,01/01/2025 06:00
1594.9787,5.2353,3.6574,1192.2402,16410.2372,252.6083,409.1274,510.4637,1538.1875,1051.886,1045.8477,01/01/2025 07:00
1728.6348,222.8132,1.7442,1134.1276,15342.7626,251.8681,407.2491,615.7708,1538.132,1052.0582,1041.51,01/01/2025 08:00
1904.087,1476.6683,1.7437,1046.7976,13688.9778,240.724,405.9652,460.0984,1537.4631,1034.8881,1023.3301,01/01/2025 09:00
1773.2742,1957.6727,1.7438,1046.5576,13192.115,215.589,404.3978,789.7733,1537.2452,1040.2202,1015.7311,01/01/2025 10:00
1982.1911,1904.0252,1.7437,1044.5721,13385.2939,232.5498,401.0209,711.2782,1536.7201,1037.6663,1011.338,01/01/2025 11:00
2167.1113,2361.2349,1.7436,1039.4415,13436.2606,206.45,400.2538,430.9055,1536.4196,1037.2302,1006.6614,01/01/2025 12:00
2230.2282,2327.0011,1.7952,1039.18,13436.2759,205.2101,400.3017,657.1616,1536.2767,1040.031,1007.2693,01/01/2025 13:00
2361.9015,1913.4722,1.9726,1037.7174,13597.0177,205.3981,399.6501,886.2823,1536.0384,1108.3974,1029.7694,01/01/2025 14:00
2359.1228,2091.8188,1.9672,1039.5939,13633.6301,204.3434,399.3952,1213.8495,1535.6858,1207.6062,1025.9503,01/01/2025 15:00
2403.3619,2414.9226,1.9661,1035.4128,13891.0765,201.9185,398.6662,1264.426,1535.4232,1247.8906,1028.9268,01/01/2025 16:00
2689.2237,1678.1552,1.9659,1035.4174,14571.1401,213.3432,397.7123,1625.9163,1535.3934,1258.2586,1091.867,01/01/2025 17:00
3029.8295,1117.0841,1.9656,1043.1495,15704.6011,225.2908,398.821,1605.4044,1535.8955,1270.859,1151.0378,01/01/2025 18:00
3512.3931,76.7117,1.9625,1044.0131,17691.0185,230.1232,399.5664,2433.1108,1536.1068,1277.3142,1181.5147,01/01/2025 19:00
3502.1613,24.2723,1.9495,1047.034,18969.4509,229.1731,403.2029,2479.5881,1537.2237,1292.8187,1191.4591,01/01/2025 20:00
3456.1183,21.3747,1.9421,1042.627,19354.1216,229.5155,405.9773,2085.5625,1537.7798,1310.6686,1191.1379,01/01/2025 21:00
3167.8338,9.0133,1.9436,1038.862,19360.351,226.7999,406.6554,2041.579,1538.7685,1310.1648,1182.9943,01/01/2025 22:00
3055.069,8.0121,1.9438,1035.5614,19095.3052,227.0359,407.5745,1572.5881,1538.9943,1311.9208,1165.9779,01/01/2025 23:00
2902.4481,5.0275,1.9451,1035.7301,18301.35,206.5505,409.2447,1371.5406,1539.2695,1332.8761,1141.1056,02/01/2025 00:00
2795.7426,0.3449,1.9485,1032.1034,17485.4825,200.5004,411.0231,1194.8829,1539.9152,1345.1058,1048.9533,02/01/2025 01:00
2589.0218,0.0032,1.9459,1025.5392,17077.1823,200.1332,412.1032,1019.3303,1540.2854,1344.3251,1019.2322,02/01/2025 02:00
2392.0634,0.0039,1.9433,1028.0385,16758.1151,200.5274,412.3129,864.163,1540.8493,1344.6184,1005.5431,02/01/2025 03:00
2363.6548,0.0041,1.9436,1034.3059,16389.1647,200.7275,411.8443,924.6783,1541.0684,1331.9609,1000.8277,02/01/2025 04:00
2331.5574,0.0038,1.9318,1038.0249,16466.2665,201.132,412.1055,941.1872,1540.5167,1331.1081,998.7967,02/01/2025 05:00
2164.3294,0.0036,1.9296,1041.1027,17380.0521,204.3036,411.578,857.5335,1540.9468,1330.9239,1005.5968,02/01/2025 06:00
2000.5854,2.2831,1.8331,1041.0635,18739.9835,228.298,410.8073,1241.0629,1540.4515,1326.9256,1025.9567,02/01/2025 07:00
2072.4414,206.3235,2.389,1043.4948,19563.3869,248.1531,408.6549,1484.7918,1540.4518,1384.2952,1066.3549,02/01/2025 08:00
2157.4041,1749.4043,10.3407,1044.4081,19572.4813,264.7799,408.158,1423.158,1540.3164,1437.7747,1073.1624,02/01/2025 09:00
2057.4674,3816.5863,9.0072,1043.0989,19506.2535,261.4496,406.8439,1081.1126,1540.2006,1429.523,1051.6764,02/01/2025 10:00
