"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: abril 2025"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/may/2025 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/04/2025","1","1228.3359","0.3806","23.0087","1897.2914","27434.0432","243.0924","398.6086","2987.7438","766.6215","4424.8215","1781.7978"
"SEN","01/04/2025","2","1149.7678","0.0034","23.3871","1471.7559","27086.3042","243.1639","400.2568","2531.0419","767.9532","4321.9741","1656.6436"
"SEN","01/04/2025","3","1116.7161","0.004","19.8675","1370.7721","26679.2713","237.429","400.1631","1874.0213","768.2098","4059.5313","1647.2712"
"SEN","01/04/2025","4","1059.6429","0.0044","18.8175","1373.7812","26078.6632","234.6937","400.3291","1945.7037","768.1192","3933.6324","1653.6926"
"SEN","01/04/2025","5","1016.3112","0.0046","13.9363","1371.8921","26121.9822","231.6062","400.2511","1679.9346","768.3318","3893.3654","1637.1874"
"SEN","01/04/2025","6","1132.074","0.156","2.0249","1367.8029","26481.1123","240.546","398.7938","1442.4153","768.59","3875.7416","1642.0793"
"SEN","01/04/2025","7","1374.3186","66.6685","2.0204","1367.0106","26802.4763","241.7828","397.9805","1151.5206","768.7787","3875.2815","1641.4795"
"SEN","01/04/2025","8","1541.2937","1614.1275","2.0212","1365.26","26117.2514","229.0452","397.1962","1007.3615","768.408","3782.6692","1657.4796"
"SEN","01/04/2025","9","1447.7746","4660.2847","2.0376","1366.1875","24188.25","236.1615","397.1839","1560.1284","767.9012","3649.0057","1613.7195"
"SEN","01/04/2025","10","1695.3947","5919.7453","1.9445","1332.4108","23018.3793","296.7387","397.198","2146.9387","767.204","3474.4982","1597.2878"
"SEN","01/04/2025","11","2109.7678","6273.5766","1.998","1331.9689","22741.9816","316.9973","398.3341","2248.8458","766.3419","3433.8577","1599.8045"
"SEN","01/04/2025","12","2338.1318","6337.6058","1.7601","1332.3587","22463.5543","316.2709","396.7238","2645.8824","765.4761","3463.5149","1588.1477"
"SEN","01/04/2025","13","2562.1533","6524.1165","1.8607","1356.0664","22328.6762","253.5311","399.2836","2894.743","764.4862","3444.9077","1614.9069"
"SEN","01/04/2025","14","2954.7969","6420.9594","2.3233","1420.899","22571.4999","327.0828","399.343","2975.9674","763.6584","3437.0456","1626.4414"
"SEN","01/04/2025","15","3253.0654","6312.3702","2.2649","1486.309","23252.7559","325.9303","399.07","3130.3366","763.1781","3438.7089","1633.3799"
