"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: agosto 2025"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/sep/2025 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/08/2025","1","2613.6984","0.5894","2.4865","1849.7834","30667.3637","661.9469","323.1699","3941.3843","1189.8408","2702.6419","2035.5651"
"SEN","01/08/2025","2","2588.1081","0.0025","2.4868","1299.0792","30231.0498","626.7244","324.4481","3751.5561","1190.8042","2657.116","1843.7833"
"SEN","01/08/2025","3","2998.5109","0.0039","2.4869","1213.7067","29502.2411","535.7983","324.7344","2959.0806","1197.9291","2498.7167","1739.5317"
"SEN","01/08/2025","4","3504.2249","0.0166","2.4869","1039.3083","28455.053","510.764","324.2906","2838.8411","1197.9988","2366.8172","1709.2451"
"SEN","01/08/2025","5","3543.1277","0.0306","2.4868","999.9922","28100.3155","467.9184","320.3867","2459.1605","1220.1453","2403.8817","1690.7009"
"SEN","01/08/2025","6","3290.5058","1.3292","2.4864","1000.8412","27967.7546","467.8126","325.4824","2522.5556","1294.0377","2381.2801","1609.4755"
"SEN","01/08/2025","7","3220.7477","255.7487","2.4862","1006.0333","27404.4931","460.5307","325.9273","2531.2847","1296.5809","2330.5675","1558.151"
"SEN","01/08/2025","8","2850.3305","2582.2903","2.4857","1020.2019","26634.0234","468.1034","326.859","2594.1387","1297.5504","2272.6086","1586.7947"
"SEN","01/08/2025","9","2761.572","4795.5041","2.4856","1114.4645","25898.2472","468.3076","325.1477","2684.6754","1294.3135","2270.9094","1605.8502"
"SEN","01/08/2025","10","3024.8524","5849.6789","2.5039","1183.3637","25895.3821","450.2471","324.5373","2753.8728","1293.6972","2302.5188","1668.2588"
"SEN","01/08/2025","11","3131.9309","6474.0796","2.5289","1194.567","25864.9405","439.5235","325.1473","2664.0349","1289.3195","2302.201","1903.1246"
"SEN","01/08/2025","12","3203.3951","6818.3737","2.5497","1285.8491","26262.6304","455.4363","325.6962","2567.1166","1288.6799","2316.9224","2162.8167"
"SEN","01/08/2025","13","3133.503","6665.5793","2.677","1335.9651","26642.9158","452.1924","325.3008","3060.8753","1288.4392","2328.6623","2190.5037"
"SEN","01/08/2025","14","3255.8229","6668.2903","2.5237","1345.9831","27765.7668","493.4474","326.3089","3088.9989","1286.5539","2350.8074","2185.2244"
"SEN","01/08/2025","15","3569.9457","6195.6607","2.5228","1332.733","28731.6343","512.462","329.4524","3039.0717","1285.7462","2468.2335","2261.7592"
"SEN","01/08/2025","16","3857.693","5936.1917","2.5223","1330.5497","29024.9065","595.9557","325.6486","3547.0236","1284.7506","2510.5249","2315.1367"
"SEN","01/08/2025","17","3988.931","5093.9904","2.8044","1329.7317","29604.3867","633.4684","327.8379","4188.8036","1284.0627","2522.8267","2360.6656"
"SEN","01/08/2025","18","4213.0899","3581.2776","2.8145","1308.6898","30137.8911","636.4381","328.957","4566.7253","1284.0431","2523.7079","2435.5971"
"SEN","01/08/2025","19","4244.8418","2079.6232","3.0683","1292.0448","30613.2999","652.6773","327.7575","4587.1174","1284.6119","2564.1265","2540.0424"
"SEN","01/08/2025","20","4237.1707","412.1845","2.9078","1301.7432","31279.09","652.9623","329.1008","5186.8241","1284.7101","3164.1577","2558.5433"
"SEN","01/08/2025","21","4356.3267","24.741","2.8224","1317.0387","31633.8704","660.1926","331.3895","5279.8305","1284.1091","3223.6462","2584.1986"
"SEN","01/08/2025","22","4114.5125","20.7713","2.7922","1315.0953","31637.8468","660.1626","331.7317","5051.0715","1283.7406","3227.132","2616.4178"
"SEN","01/08/2025","23","3930.5603","12.9911","2.5068","1310.1814","31568.4234","610.1781","331.9254","4634.7774","1284.5449","3208.9063","2581.0643"
"SEN","01/08/2025","24","3999.2847","12.9434","2.5084","1301.6928","30691.1307","607.9473","330.7686","4134.1966","1285.344","3000.8338","2411.0959"
"SEN","02/08/2025","1","3937.5095","1.4509","2.5092","1315.5776","29694.9164","550.8153","327.0424","4356.0527","1286.0266","2514.834","1769.6793"
"SEN","02/08/2025","2","3904.9799","0.0027","2.5097","1324.1212","28291.7774","496.1199","327.8851","4555.1107","1286.4144","2251.8777","1720.769"
"SEN","02/08/2025","3","3759.0105","0.004","2.5097","1326.589","27628.9573","415.9987","329.9925","4385.8405","1286.4743","2031.2918","1670.6616"
"SEN","02/08/2025","4","3726.1528","0.0137","2.5148","1318.0664","27154.3742","419.4542","329.8106","3860.7821","1286.68","2023.619","1616.1467"
"SEN","02/08/2025","5","3429.3678","0.035","2.5213","1318.7689","27157.0583","419.369","330.0712","3243.9474","1287.0129","2064.8367","1588.1484"
"SEN","02/08/2025","6","3269.6829","1.1587","2.5212","1342.2955","26911.6522","418.2388","332.2018","2942.7476","1287.5052","2077.2737","1561.478"
"SEN","02/08/2025","7","2802.1346","260.3223","2.5208","1349.5961","26449.8284","454.7558","333.2006","2848.2598","1288.427","2089.5876","1513.6208"
"SEN","02/08/2025","8","2398.5461","2770.3864","2.5939","1311.368","25444.8159","443.3914","334.3887","2465.9101","1288.4341","2045.793","1530.5408"
"SEN","02/08/2025","9","2421.5945","5589.8318","2.7981","1254.3564","24090.0428","438.0823","335.4721","2227.1403","1287.9023","1897.9813","1509.8457"
"SEN","02/08/2025","10","2777.1452","6546.3457","2.5831","1256.603","24072.2584","434.3936","337.5429","2139.601","1286.6049","1883.046","1528.4831"
"SEN","02/08/2025","11","2936.7688","6798.3059","2.5634","1258.834","24457.5954","445.0929","337.0111","2049.2407","1285.8407","1906.1181","1608.3731"
"SEN","02/08/2025","12","2988.7084","7099.4266","2.5193","1338.8022","24656.2477","506.0685","336.3616","1990.1503","1284.5319","1918.2459","1767.2028"
"SEN","02/08/2025","13","3172.3617","7113.8081","2.6811","1342.1906","25305.821","523.1541","334.1513","1875.7339","1283.1494","1918.7719","1843.3634"
"SEN","02/08/2025","14","3049.7575","6911.6938","2.7073","1322.4881","26082.7546","562.0012","332.71","1870.0497","1279.8099","1926.6554","1902.8622"
"SEN","02/08/2025","15","2995.365","6627.6261","2.7076","1319.6139","26676.0163","559.9777","334.4641","2200.177","1276.7707","1963.6325","1943.837"
"SEN","02/08/2025","16","3291.3635","6459.1189","2.7079","1329.1932","27251.1111","548.1122","335.5322","2029.3337","1274.9801","2014.1011","1951.6157"
"SEN","02/08/2025","17","3584.5738","6024.8489","2.7042","1318.9419","27598.4717","564.3069","333.6665","2572.0223","1272.9782","2034.8327","2006.838"
