"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: diciembre 2025"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/ene/2026 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/12/2025","1","2654.6843","0","2.0363","734.9585","21658.3888","283.2424","363.2979","2838.6692","755.0608","1746.7165","1109.8597"
"SEN","01/12/2025","2","2494.5937","0","1.7995","733.8326","21008.3151","274.8302","363.9355","2581.4675","755.5897","1614.9383","1119.6097"
"SEN","01/12/2025","3","2423.2143","0","1.7994","735.6108","20948.4591","272.0537","363.8529","2184.6383","755.9299","1555.9512","1142.1909"
"SEN","01/12/2025","4","2107.5053","0","1.7999","735.3622","21016.54","267.6425","364.0108","1898.4233","756.3854","1552.1511","1135.0255"
"SEN","01/12/2025","5","2108.5684","0","1.7994","735.4418","21359.7705","271.2572","363.9698","1784.2961","756.5446","1545.325","1142.0726"
"SEN","01/12/2025","6","1974.3446","0","1.587","735.2109","22238.2171","279.6355","364.2569","1975.7756","757.1197","1559.7681","1191.3407"
"SEN","01/12/2025","7","1792.9869","14.1545","1.303","735.7691","24067.7204","299.903","364.1769","2254.8193","757.5193","1610.097","1210.464"
"SEN","01/12/2025","8","1851.8765","392.1105","1.3032","736.3937","24658.571","309.8147","363.9544","2802.0793","757.8908","1701.5067","1244.8515"
"SEN","01/12/2025","9","1806.1957","1994.0728","1.7478","735.1831","24398.1595","290.0605","362.3429","3145.7973","758.1537","1689.7727","1231.1624"
"SEN","01/12/2025","10","1725.9671","3642.1159","1.9671","734.9353","24088.3073","301.8438","360.7762","2707.395","759.1315","1773.1828","1232.0604"
"SEN","01/12/2025","11","1758.9716","4393.2026","2.1303","734.5255","23619.0239","297.1015","361.0366","2706.9951","760.1097","1848.63","1228.7275"
"SEN","01/12/2025","12","2019.0763","4712.7298","2.2376","759.7976","23458.2983","291.613","360.3987","2371.6301","758.7237","1945.2186","1248.4603"
"SEN","01/12/2025","13","2202.4667","4594.9714","2.1166","1081.9393","23335.0414","292.6401","360.1614","2144.9458","757.9202","2184.1031","1275.3224"
"SEN","01/12/2025","14","2132.386","4515.1677","1.2474","1095.0719","23672.733","302.225","360.5257","2036.9836","757.5934","2607.3836","1286.9515"
"SEN","01/12/2025","15","2102.339","3949.6219","1.6268","1096.4208","23988.9259","293.4335","360.571","2492.753","756.8599","2910.6354","1395.3766"
"SEN","01/12/2025","16","2116.213","3251.01","2.3453","1097.6558","24538.1543","263.4108","360.1924","3107.3288","756.3995","2916.2675","1510.3235"
"SEN","01/12/2025","17","2070.7861","2122.4665","2.3482","1096.678","25512.1948","259.1714","359.6925","3601.3044","756.4084","2938.0578","1760.5032"
"SEN","01/12/2025","18","1945.2913","627.7827","2.3484","1096.8953","26315.4187","299.2736","360.4743","4056.4067","755.6892","2959.7038","2312.3219"
"SEN","01/12/2025","19","1823.5272","20.0754","2.3476","1096.4564","26406.7159","296.1307","361.2351","5493.8175","752.5835","3005.7862","2313.3963"
"SEN","01/12/2025","20","1716.5285","15.6733","2.3472","1096.6487","26488.7877","323.6823","361.7603","5553.9323","751.7342","3071.143","2213.3707"
"SEN","01/12/2025","21","1438.9004","12.6417","2.3466","1098.7507","26761.6181","383.6327","362.0809","5263.8008","752.4932","3050.0533","2204.9055"
"SEN","01/12/2025","22","1335.0651","8.1748","2.3323","1098.6058","26759.2493","383.5065","362.5613","4415.1606","753.0136","3077.8041","2252.4455"
"SEN","01/12/2025","23","1324.9016","6.0079","2.3069","1096.614","26582.8751","336.93","363.1189","3589.6742","753.37","2740.2253","2193.2771"
"SEN","01/12/2025","24","1358.2274","4.0263","2.1248","990.5554","25642.794","306.1472","364.2702","3359.1199","754.1097","2445.2829","1992.9336"
"SEN","02/12/2025","1","1461.4011","1.6699","2.119","736.1137","25039.5622","277.7257","364.2497","2786.5763","754.5043","2339.5954","1773.3283"
"SEN","02/12/2025","2","1732.1655","0.0016","2.1174","735.3031","24664.6755","278.9268","363.8301","2273.4086","755.1706","2269.7223","1273.7255"
"SEN","02/12/2025","3","1990.9247","0.0008","2.1193","734.3771","23915.5286","276.7167","363.8073","2040.0975","755.7313","2210.4729","1215.1185"
"SEN","02/12/2025","4","2015.1382","0.0006","2.1194","734.8996","23531.0919","264.9883","363.3213","1880.263","755.9769","2278.2704","1223.0561"
"SEN","02/12/2025","5","2112.9632","0.0015","2.1186","735.3232","23363.1945","262.202","363.4872","1916.6169","756.2007","2229.6422","1224.8622"
"SEN","02/12/2025","6","2097.2665","0.0016","2.1193","734.0497","23844.3522","270.6701","363.7013","2052.3847","756.8536","2224.175","1278.2383"
"SEN","02/12/2025","7","1988.2758","20.6435","2.1167","735.7489","24956.7754","300.1023","364.404","2433.1445","757.177","2221.238","1321.0485"
"SEN","02/12/2025","8","2089.4935","405.6766","2.1161","735.3831","25251.6965","307.4728","364.2691","2958.7239","757.5667","2255.9544","1341.6258"
