"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: febrero 2025"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/mar/2025 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/02/2025","1","2723.1509","0.4895","28.9867","1272.0766","23332.5922","243.1479","429.1469","753.7199","1555.1029","3025.3619","1851.7585"
"SEN","01/02/2025","2","2732.3819","0.0041","28.1572","1220.9013","22680.0932","214.5587","428.7265","755.1186","1555.8646","2715.1304","1596.4294"
"SEN","01/02/2025","3","2649.7696","0.0037","26.7689","1256.3326","22228.7489","212.8816","427.9794","734.713","1555.8184","2218.2474","1501.6204"
"SEN","01/02/2025","4","2546.445","0.0042","26.6231","1261.7016","22028.3676","205.2986","428.2319","745.5411","1555.934","2051.2904","1345.7552"
"SEN","01/02/2025","5","2368.9552","0.0044","28.4668","1255.9067","22398.2735","218.9149","427.9907","815.7517","1556.1536","1902.8145","1071.5509"
"SEN","01/02/2025","6","2348.5354","0.0047","24.8972","1255.8616","22415.2134","220.5825","428.3993","910.6833","1556.9018","1913.6869","1063.0203"
"SEN","01/02/2025","7","2265.9835","0.7295","28.6557","1254.7994","22895.1812","222.7892","428.1305","957.6045","1557.3637","2009.2972","1164.5113"
"SEN","01/02/2025","8","2221.8361","180.4621","26.0399","1241.3081","22353.2214","221.8159","428.6951","1881.8356","1557.2343","2003.8391","1247.6768"
"SEN","01/02/2025","9","2141.359","2174.3538","25.4224","1296.4429","21309.3903","190.088","428.0781","2094.4265","1557.6404","1939.2721","1222.38"
"SEN","01/02/2025","10","2005.9672","4404.4229","25.8369","1355.8023","20596.9977","194.331","426.6875","1308.0652","1557.0457","1984.6377","1125.2066"
"SEN","01/02/2025","11","2046.2137","4732.8236","28.134","1347.1849","20255.888","196.3638","428.3097","1421.3805","1557.4693","1965.5032","1115.2676"
"SEN","01/02/2025","12","1971.3938","5070.1236","28.8335","1313.0659","20386.5398","198.7821","426.7234","1198.4116","1557.164","1947.5211","1115.1924"
"SEN","01/02/2025","13","1912.0021","4744.645","28.407","1224.5742","20803.9727","198.042","425.3403","1191.5912","1556.9026","1941.4945","1121.2035"
"SEN","01/02/2025","14","2071.2671","4675.6487","29.4068","1215.4385","20778.5614","194.3969","423.3013","1120.9624","1556.8353","1952.7801","1127.2961"
"SEN","01/02/2025","15","2257.0836","4315.3778","29.6216","1219.851","20755.7455","205.2604","422.6902","1079.0438","1556.9367","1799.6707","1232.4124"
"SEN","01/02/2025","16","2359.4079","3917.1198","26.319","1234.6671","20738.4133","201.0863","421.9533","1353.6382","1557.1455","1710.0588","1212.2372"
"SEN","01/02/2025","17","2424.8576","3264.8374","27.6585","1283.0158","21046.8736","225.9376","421.3514","1818.6122","1557.6522","1734.2756","1411.0091"
"SEN","01/02/2025","18","2580.9895","2358.2624","28.7048","1285.1228","21196.6216","242.8867","420.7611","2491.7959","1557.9452","1858.004","1532.4116"
"SEN","01/02/2025","19","2975.546","360.5252","28.3825","1285.2438","22332.8177","277.2101","422.2549","3748.8465","1557.8121","1945.5125","1552.7313"
"SEN","01/02/2025","20","3308.3018","14.6217","26.9431","1294.6899","23035.2919","274.1326","422.1721","4411.4047","1558.1344","2023.7271","1573.5761"
