"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: julio 2025"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/ago/2025 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/07/2025","1","978.0248","0.0038","2.9014","1420.1561","28203.4968","627.7853","369.2987","4983.2356","1401.7858","2479.4685","1937.8785"
"SEN","01/07/2025","2","843.7068","0.0004","2.9016","1414.1216","27645.0006","645.7804","355.4567","4160.7463","1401.9024","2443.6221","1876.4613"
"SEN","01/07/2025","3","791.5568","0.0036","2.9018","1412.0223","27158.0355","625.8103","358.0504","3841.5892","1399.0656","2434.4897","1818.6317"
"SEN","01/07/2025","4","817.1735","0.0097","2.9017","1342.4907","26540.2091","595.7589","358.7682","3777.0419","1398.6542","2339.6636","1763.4702"
"SEN","01/07/2025","5","752.3141","0.0161","2.8122","1328.9287","26359.6129","580.6144","359.0409","3608.6603","1399.7688","2312.4526","1775.5227"
"SEN","01/07/2025","6","853.2726","3.5082","2.6305","1334.2673","26333.3452","556.0716","359.4853","3611.0373","1382.1706","2301.1091","1770.8019"
"SEN","01/07/2025","7","916.16","240.0565","2.6301","1333.9699","26300.5221","506.3926","359.2271","3585.8225","1395.3327","2294.8619","1738.056"
"SEN","01/07/2025","8","974.8853","1469.0777","2.63","1302.1805","26421.508","395.9605","359.5715","3465.0199","1436.6949","2299.5949","1653.7562"
"SEN","01/07/2025","9","996.4414","3163.1351","2.6299","1384.2525","26732.3159","397.5149","359.5195","3056.0253","1467.0565","2362.4785","1624.355"
"SEN","01/07/2025","10","954.5322","4512.7809","2.8644","1403.7936","26796.6587","383.8391","358.6897","3057.1715","1192.4617","2426.9073","1675.0302"
"SEN","01/07/2025","11","987.693","5398.482","2.7817","1518.9048","26788.4643","382.5715","357.6111","3059.5065","1173.4014","2481.7555","1612.4351"
"SEN","01/07/2025","12","1103.2357","5838.8375","2.6398","1600.6667","26648.9885","381.0179","357.2616","3260.9839","1175.7917","2507.111","1649.9541"
"SEN","01/07/2025","13","1148.5596","5709.4842","3.0211","1600.7528","26574.9015","416.8579","356.8313","3866.4107","1174.6257","2511.9424","1748.5107"
"SEN","01/07/2025","14","1489.864","5518.6896","3.0229","1613.3809","26771.4041","483.5352","356.5193","4253.7288","1173.6133","2511.5855","1759.114"
"SEN","01/07/2025","15","1624.23","5214.8969","3.0174","1620.2001","26963.0773","512.0432","355.6213","4668.5781","1173.4554","2467.7926","1767.4273"
"SEN","01/07/2025","16","1606.7305","4794.6398","3.0169","1586.3087","27491.6789","527.0666","353.2514","5084.2169","1174.2226","2405.1378","1789.6967"
"SEN","01/07/2025","17","1776.6649","4037.19","3.0163","1579.8699","28067.1259","625.9188","352.1682","5517.1317","1176.2492","2430.2716","1797.6667"
"SEN","01/07/2025","18","1642.1895","2533.7823","3.0165","1577.8754","29168.2833","625.4721","348.6472","5586.6787","1178.8199","2480.1522","1842.5322"
"SEN","01/07/2025","19","1603.7555","1590.1249","3.195","1578.4227","29490.1006","639.3768","349.9236","5220.2858","1182.1554","2484.1119","1936.8959"
"SEN","01/07/2025","20","1614.7384","516.8546","3.2453","1586.3325","30028.2805","688.7604","351.2029","6265.5268","1187.6474","2502.1616","2247.8259"
"SEN","01/07/2025","21","1778.3383","34.0553","3.2785","1594.4564","30128.4356","732.8497","353.499","6574.9564","1192.5079","2528.4587","2328.4858"
"SEN","01/07/2025","22","1761.8294","10.9855","3.2932","1589.1707","29788.8957","736.3681","354.6215","6468.7895","1195.298","2499.4663","2403.5234"
"SEN","01/07/2025","23","1690.5418","11.0042","3.2507","1591.528","29255.6894","735.0608","353.3644","6351.7351","1062.5606","2504.3238","2274.3384"
"SEN","01/07/2025","24","1921.1133","8.0976","2.9028","1568.3668","28412.7903","636.8558","352.8531","6037.9725","974.2731","2472.547","2061.2425"
"SEN","02/07/2025","1","1904.4911","0.7075","2.9036","1419.5885","27296.0097","596.9297","353.7673","5681.6777","973.5285","2283.0929","1924.2672"
"SEN","02/07/2025","2","1619.7669","0.0012","2.904","1337.1949","26677.4399","598.2085","355.2789","5161.6524","1065.6639","2239.0067","1885.8225"
"SEN","02/07/2025","3","1715.5772","0.0017","2.9037","1333.975","26291.5799","512.3156","354.8802","4342.007","1158.2797","2186.6539","1767.2067"
"SEN","02/07/2025","4","1904.3124","0.0043","2.9035","1335.065","25596.2059","433.7899","356.3764","4194.3832","1235.0013","2171.5263","1722.7712"
"SEN","02/07/2025","5","1851.4238","0.005","2.9032","1380.1213","25736.2752","439.3186","356.687","3738.5632","1250.6967","2172.5702","1656.0561"
"SEN","02/07/2025","6","1741.0009","3.8781","2.9029","1413.0713","26147.6497","440.6964","356.5073","3459.8363","1271.2206","2087.2178","1566.6604"
"SEN","02/07/2025","7","1542.6221","305.7835","2.9027","1419.3334","26885.5861","436.8685","356.3999","2949.2069","1279.3084","2060.3947","1515.2385"
"SEN","02/07/2025","8","1483.4902","1505.7185","2.9026","1429.5545","27012.4898","391.1773","354.2622","2662.351","1288.8083","2081.4692","1453.5178"
"SEN","02/07/2025","9","1598.0144","2852.3347","2.9028","1425.8199","26987.663","388.1573","353.8123","2899.5074","1295.0541","2116.346","1480.468"
"SEN","02/07/2025","10","1680.729","4773.2775","2.901","1418.1836","25936.491","425.1298","352.6853","2818.7975","1301.7551","2143.9084","1576.7298"
"SEN","02/07/2025","11","2011.5702","5534.8","2.8638","1420.5001","25305.649","436.0158","352.1371","3027.7138","1308.3864","2134.9865","1709.201"
"SEN","02/07/2025","12","2266.8747","5611.8307","2.8387","1418.9497","25303.2072","471.9861","352.7234","3346.8545","1311.6084","2092.6914","1837.4608"
"SEN","02/07/2025","13","2186.1648","5794.6442","3.2452","1417.4475","25846.4661","469.4741","353.3531","3501.2863","1317.1025","2111.5754","1895.7383"
"SEN","02/07/2025","14","2299.0614","5327.2051","3.2924","1408.5505","26499.5659","484.1145","353.3846","4137.6538","1331.4024","2110.2771","1919.4382"
"SEN","02/07/2025","15","2199.7518","4544.2333","3.2942","1408.6839","27207.3943","489.5768","353.7593","4687.589","1344.3148","2111.1024","1879.9999"
"SEN","02/07/2025","16","2500.9561","3958.2446","3.294","1406.6033","28005.8575","539.3623","351.8621","4774.7465","1361.1124","2168.0051","1913.4323"
"SEN","02/07/2025","17","2835.8624","3545.5383","3.0955","1403.0631","28942.4122","539.6687","350.9818","4295.5545","1379.2212","2351.119","1909.6588"
"SEN","02/07/2025","18","2836.6868","2802.5338","3.2517","1408.5178","29294.6491","623.0314","350.5561","4235.3117","1394.1383","2350.2988","1933.5375"
"SEN","02/07/2025","19","2726.1813","1615.6452","3.2939","1409.2411","29598.4053","646.1158","349.8156","4846.465","1409.7703","2210.1326","1933.0752"
"SEN","02/07/2025","20","2695.2241","463.851","3.2903","1411.1768","30491.18","651.7997","350.0114","5764.4853","1426.1347","2240.6905","1992.3792"
"SEN","02/07/2025","21","2788.8604","33.8535","3.2788","1413.6417","30804.432","688.6311","352.3577","6112.4034","1442.8226","2304.5417","2021.0255"
"SEN","02/07/2025","22","2780.803","12.1315","3.294","1408.6358","30552.4292","688.3272","351.4554","5994.688","1458.0392","2312.8718","1998.4091"
"SEN","02/07/2025","23","2922.535","10.8022","3.2515","1400.382","29860.397","610.8252","349.1179","5915.8089","1480.6293","2090.3677","1963.7179"
"SEN","02/07/2025","24","2853.9561","6.8768","2.8839","1402.4597","29133.9222","602.3988","350.8187","5169.5505","1493.5957","2005.1321","1907.787"
"SEN","03/07/2025","1","2791.0694","0.3015","2.8846","1409.0026","28015.1296","553.4666","352.6467","4770.2914","1506.9788","1910.3583","1732.4464"
"SEN","03/07/2025","2","2701.0703","0.0017","2.8848","1414.52","27153.7334","391.4844","352.7134","4498.6413","1512.9772","1824.424","1689.3069"
