"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: junio 2025"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/jul/2025 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/06/2025","1","678.6486","1.0895","2.8056","1531.1403","28026.6069","689.4908","366.9102","4188.2144","753.3831","2824.403","2007.5939"
"SEN","01/06/2025","2","874.9778","0.0119","2.8061","1525.576","27513.2769","685.9392","368.0245","3276.3598","753.3793","2694.9706","2037.1095"
"SEN","01/06/2025","3","1177.6486","0.0124","2.8066","1530.1827","26945.2098","688.9073","368.355","2736.2438","753.7247","2435.4633","2017.0697"
"SEN","01/06/2025","4","1097.7601","0.019","2.8061","1537.7998","26306.4722","607.6988","365.574","2703.4405","754.1227","2259.3584","2003.8937"
"SEN","01/06/2025","5","948.7875","0.0227","2.8061","1542.693","26188.5401","495.5531","364.8833","2412.3346","754.472","2186.8486","1955.2644"
"SEN","01/06/2025","6","983.95","4.3991","2.8057","1541.2028","25852.2189","400.5072","364.9394","2227.2949","754.4944","2180.1594","1703.9455"
"SEN","01/06/2025","7","807.3928","217.9674","2.7984","1548.6054","24974.4228","277.8276","365.9108","1902.5965","754.6691","2147.6847","1755.8268"
"SEN","01/06/2025","8","487.8843","1608.877","2.7925","1553.5795","24101.9658","231.9004","365.4802","1652.9906","754.6359","2170.4705","1659.4227"
"SEN","01/06/2025","9","365.8601","3120.6828","2.7904","1550.1611","23056.8907","161.8926","368.0156","1869","754.2721","2185.4961","1638.5419"
"SEN","01/06/2025","10","175.0128","4198.2287","2.7924","1546.5032","22859.0531","156.1617","366.9296","1817.3257","754.6688","2180.2326","1551.2247"
