"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: marzo 2025"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/abr/2025 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/03/2025","1","2273.1953","0.1636","29.4942","1905.2433","23939.9962","462.6376","441.2747","1612.9522","1527.7989","1759.6212","1524.281"
"SEN","01/03/2025","2","2019.2363","0.0049","29.1902","1778.6197","23383.4448","459.9639","442.1732","1552.7411","1527.9435","1625.4904","1479.6404"
"SEN","01/03/2025","3","1686.719","0.0053","25.7983","1718.3668","23256.0171","461.324","442.4342","1133.2869","1527.8564","1620.7214","1459.9256"
"SEN","01/03/2025","4","1389.9617","0.0058","28.8063","1721.5558","23240.4208","444.1346","441.9347","948.6136","1527.5355","1687.2871","1449.2241"
"SEN","01/03/2025","5","1030.4943","0.0054","23.963","1738.1763","23298.9214","446.9635","442.0571","898.663","1527.7042","1836.4907","1465.889"
"SEN","01/03/2025","6","941.6735","0.005","24.236","1744.5551","23244.981","451.6358","442.6106","979.4135","1527.522","1912.052","1489.1072"
"SEN","01/03/2025","7","838.6704","26.5715","24.8536","1714.9859","23312.4783","460.817","443.0848","1341.1755","1527.3077","1904.6049","1533.5588"
"SEN","01/03/2025","8","817.0692","728.2532","23.7437","1721.7508","23078.0448","468.3791","443.1691","1347.1626","1527.2443","1849.8355","1508.7925"
"SEN","01/03/2025","9","878.2988","3436.6034","23.8629","1728.3733","21350.4557","461.7847","442.8272","1590.92","1527.3831","1820.6373","1455.3807"
"SEN","01/03/2025","10","830.2133","5120.0837","11.5568","1742.7996","19894.7654","429.3944","439.8926","1784.0152","1526.9906","1968.9687","1460.1647"
"SEN","01/03/2025","11","835.3835","5491.4038","8.2148","1741.9737","19918.8813","246.3895","439.0546","1536.7313","1526.7278","1999.2584","1491.7142"
"SEN","01/03/2025","12","905.8707","5815.8043","16.1318","1741.0462","19852.2727","253.4326","437.685","1596.1185","1526.3745","1995.7965","1482.624"
"SEN","01/03/2025","13","1220.0504","5842.0132","18.8143","1739.8494","19873.5642","245.7835","435.9285","1547.3624","1525.5466","1993.3564","1473.99"
"SEN","01/03/2025","14","1514.0979","5778.5445","21.5699","1733.7059","20120.0982","237.7061","433.8846","1273.021","1524.6829","1975.4589","1469.6472"
"SEN","01/03/2025","15","1690.012","5881.6735","24.0532","1721.7346","19829.9326","245.6927","432.694","1413.0512","1523.4934","1963.007","1456.3209"
"SEN","01/03/2025","16","1953.9232","5247.3203","19.011","1701.7615","20006.8964","215.2637","432.3785","1746.4697","1523.5709","2006.4741","1552.5453"
"SEN","01/03/2025","17","2116.3793","4328.5088","21.5063","1694.517","20260.2817","218.4228","432.7939","2405.869","1524.2833","2195.8271","1618.4382"
"SEN","01/03/2025","18","2752.2656","3077.4178","23.6572","1675.2614","20358.362","250.8516","431.6389","3236.2769","1524.3649","2261.0097","1610.1624"
"SEN","01/03/2025","19","3621.8233","770.1812","27.5876","1777.7053","21529.6052","260.8847","434.2665","4200.4384","1524.2109","2195.5562","1589.0655"
"SEN","01/03/2025","20","3801.6538","31.4028","26.8512","1897.0351","22479.7469","264.5022","436.4978","5284.0612","1523.9848","2081.6093","1589.9194"
"SEN","01/03/2025","21","3777.4884","21.6066","25.5012","1900.7874","22442.1102","258.3567","438.717","4971.7994","1523.5312","2083.5201","1585.9025"
"SEN","01/03/2025","22","3561.304","12.9986","25.8371","1898.3928","22417.9108","254.2009","442.8098","4151.4592","1523.2756","2089.1837","1607.7085"
"SEN","01/03/2025","23","3487.671","5.8801","26.2252","1899.0637","22329.423","258.6303","449.0619","3049.1755","1523.2509","2082.4705","1603.2082"
"SEN","01/03/2025","24","3476.875","5.0142","27.2563","1912.6997","21937.1169","259.4146","449.9672","1917.6509","1523.6539","2007.3534","1583.4804"
"SEN","02/03/2025","1","3467.2101","0.2781","27.2041","1752.0961","20949.033","265.7422","452.8249","1672.6218","1523.8122","1871.694","1492.5122"
"SEN","02/03/2025","2","3245.6793","0.0038","26.879","1717.7949","20122.7926","278.0459","452.8963","1431.4057","1523.9954","1871.6729","1457.1403"
"SEN","02/03/2025","3","3241.9751","0.0039","26.342","1711.7487","19284.1758","270.8459","452.7212","1312.6293","1524.2062","1936.9141","1425.9867"
"SEN","02/03/2025","4","3179.3838","0.0045","26.7052","1689.2055","18997.4126","267.8523","452.8824","1061.849","1523.9801","2025.6174","1422.3433"
"SEN","02/03/2025","5","3064.4859","0.0054","27.8098","1682.4201","18524.8172","238.7027","452.4545","1020.7797","1523.6564","2098.7888","1425.4267"
"SEN","02/03/2025","6","3001.1534","0.0245","25.6422","1685.6179","18536.2671","258.3589","453.02","1022.8059","1523.946","2110.9477","1425.4123"
"SEN","02/03/2025","7","3153.9104","24.7852","27.0266","1686.8569","17973.0456","260.0036","452.4548","1287.807","1524.1454","2059.7792","1418.8296"
