"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: mayo 2025"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/jun/2025 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/05/2025","1","2354.4015","0.5278","24.9777","1579.9379","27339.3559","247.6257","357.8137","3940.5326","768.1383","3506.2859","2430.3919"
"SEN","01/05/2025","2","2219.2074","0.0042","25.7779","1572.2885","26916.2504","231.0128","357.8","3314.7297","769.6598","3374.8645","2202.0785"
"SEN","01/05/2025","3","2045.9099","0.0045","22.7732","1569.483","26847.6963","234.6883","357.425","2618.6787","770.4432","3236.2352","1794.1898"
"SEN","01/05/2025","4","1882.5024","0.0047","21.5873","1563.5896","26558.7194","243.3665","358.4688","2126.4654","770.8415","3212.0322","1721.8032"
"SEN","01/05/2025","5","1838.5357","0.0049","21.1737","1564.403","26332.6102","242.8684","358.7896","1731.1212","771.7754","3215.4675","1597.3135"
"SEN","01/05/2025","6","1876.107","1.8961","20.9403","1564.1048","26010.9226","241.1976","359.0646","1362.3117","771.8966","2982.8924","1561.371"
"SEN","01/05/2025","7","1542.5109","355.708","20.1887","1569.8599","24767.6588","239.4424","358.9488","1071.1289","771.822","2850.5079","1593.7108"
"SEN","01/05/2025","8","1464.0207","3200.0342","18.8365","1566.9685","22384.5831","216.9448","358.7492","597.3788","771.9035","2772.2256","1592.8323"
"SEN","01/05/2025","9","1648.4376","5326.6447","17.817","1469.0034","20819.5273","213.7158","357.2825","724.347","771.1967","2765.8466","1564.0103"
"SEN","01/05/2025","10","1925.8267","5982.8272","15.602","1475.6884","19954.2139","198.8564","356.3858","1277.3937","771.1866","2750.8909","1551.2252"
"SEN","01/05/2025","11","2152.1612","6277.8042","14.7009","1581.9646","20389.1714","210.2261","357.4888","1120.1044","770.8752","2736.2264","1547.6227"
"SEN","01/05/2025","12","2247.2738","6382.0079","15.2913","1598.0576","21169.978","216.4916","357.4375","891.7199","770.0092","2742.1968","1528.7273"
"SEN","01/05/2025","13","2459.1227","6420.1445","15.3813","1591.8681","21567.6462","226.9702","356.7761","1246.5851","768.9761","2748.6992","1521.9497"
"SEN","01/05/2025","14","2700.7648","6326.3416","11.5701","1575.8863","22400.9148","237.6642","354.4782","1340.2125","768.0269","2689.5928","1512.7626"
"SEN","01/05/2025","15","2920.0231","6091.1301","17.7221","1579.5198","23021.7253","230.1674","354.5755","1445.578","767.0662","2678.5997","1524.2318"
"SEN","01/05/2025","16","2833.445","5719.4507","20.1105","1588.2311","23916.2553","231.6553","355.018","1634.7565","766.1839","2778.3646","1571.6351"
"SEN","01/05/2025","17","2966.0477","4989.6531","21.4621","1591.1163","24122.2952","244.2202","355.381","2286.527","765.0547","2914.1764","1598.4457"
"SEN","01/05/2025","18","2819.9838","3923.2996","17.5897","1592.8687","24324.5183","242.0707","354.8841","3131.8411","764.2418","3191.4004","1637.2957"
"SEN","01/05/2025","19","2750.2511","1951.791","17.1404","1688.4147","25550.9204","242.9758","354.8441","3718.1075","763.7338","3403.4461","1887.517"
"SEN","01/05/2025","20","2379.5377","249.5928","23.3788","1881.6623","27097.1925","245.0737","353.3143","4656.1219","763.6741","3908.8894","2481.9031"
"SEN","01/05/2025","21","2441.0991","24.5787","25.5062","1928.2576","27191.1724","246.3994","353.4763","5178.2959","764.6562","3928.1705","2566.8671"
"SEN","01/05/2025","22","2426.6528","11.7373","24.4859","1854.3698","26878.8521","242.0525","354.2646","5007.3438","766.1741","4049.573","2513.2462"
"SEN","01/05/2025","23","1915.2824","11.016","23.5184","1605.2454","26906.7277","244.3193","355.3525","4740.3811","767.0856","4053.8772","2490.3134"
"SEN","01/05/2025","24","1631.7458","8.1178","21.8804","1600.6262","26647.27","219.2794","357.6259","3730.7896","767.7978","3923.1252","2388.7273"
"SEN","02/05/2025","1","1655.0523","0.5226","23.5082","1530.5963","26626.9238","242.4606","357.8201","3167.59","768.9426","3621.7062","1804.1654"
"SEN","02/05/2025","2","1604.8721","0.0024","23.8402","1433.8367","25966.2704","231.3448","358.8059","2443.6651","769.9947","3549.1353","1644.1265"
