"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: octubre 2025"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/nov/2025 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/10/2025","1","1259.4223","0.0586","2.8327","885.0573","25809.2137","541.9512","292.0213","5908.3519","1370.7008","3624.337","1606.2593"
"SEN","01/10/2025","2","1331.4277","0.0073","2.8324","613.76","24780.0186","500.7701","293.2487","5875.5264","1370.6856","3550.0349","1435.1206"
"SEN","01/10/2025","3","1010.919","0.0077","2.8335","534.586","24490.4151","458.2506","326.6968","5555.7226","1370.8437","3510.6096","1350.9984"
"SEN","01/10/2025","4","785.4833","0.0067","2.8337","561.0585","24307.5906","361.6264","338.5754","5354.4454","1371.1029","3480.9569","1311.7232"
"SEN","01/10/2025","5","774.2113","0.007","2.8216","669.6074","24076.3389","316.7856","335.2302","5177.8897","1371.2748","3480.1678","1296.322"
"SEN","01/10/2025","6","647.596","0.2126","2.8105","786.2878","24134.4446","309.7869","336.4657","5232.567","1371.43","3512.3851","1301.236"
"SEN","01/10/2025","7","498.424","61.594","2.8","809.7547","24319.4217","293.5046","337.747","5430.0469","1371.373","3687.2567","1302.9689"
"SEN","01/10/2025","8","514.991","1563.2277","2.7292","764.0341","24000.008","297.1168","337.2542","5122.6009","1371.4832","3634.9308","1336.1266"
"SEN","01/10/2025","9","692.7566","4634.43","2.738","737.5014","23211.3917","305.5084","336.319","4332.3476","1371.2435","3436.013","1349.9313"
"SEN","01/10/2025","10","1049.9908","5898.099","2.7206","741.8406","22388.9336","304.1398","334.8037","4310.0943","1370.1597","3410.8013","1365.682"
"SEN","01/10/2025","11","1463.9908","6272.2808","1.4032","776.4089","22301.8432","320.597","330.6423","4090.2043","1369.4783","3444.7237","1375.7609"
"SEN","01/10/2025","12","1698.077","6441.1804","2.0692","800.7134","22314.8943","354.2796","320.555","4548.282","1368.8699","3461.6831","1416.8802"
"SEN","01/10/2025","13","1759.2689","6502.8009","2.2339","787.9258","22547.2179","353.3588","311.9112","5036.4836","1368.2917","3492.3158","1456.068"
"SEN","01/10/2025","14","2142.9765","6436.6214","2.2349","797.3643","22778.1143","419.5451","312.3462","5301.0997","1367.8807","3505.1383","1518.5462"
"SEN","01/10/2025","15","1995.5813","6202.9418","2.234","855.7038","23387.9984","405.3634","331.0033","5865.6755","1367.7683","3563.0917","1564.5588"
"SEN","01/10/2025","16","2083.7892","5729.946","2.2029","895.556","24501.1646","403.198","331.3511","6271.0675","1367.503","3598.1676","1739.3032"
"SEN","01/10/2025","17","2161.8366","4786.169","2.2309","891.8145","25887.6029","405.618","330.3811","6398.8541","1367.7919","3658.8267","1791.8608"
"SEN","01/10/2025","18","2259.2883","2853.8885","1.9064","895.191","26927.0119","491.2513","334.8097","6590.2708","1369.1568","4150.4075","1914.8467"
"SEN","01/10/2025","19","2535.9884","456.8797","2.2072","897.1522","28851.0693","598.7277","334.8236","6817.0255","1369.731","4492.5078","1999.0776"
"SEN","01/10/2025","20","2983.7785","16.1052","2.2006","889.5024","29122.6016","665.4629","332.7028","6452.5494","1370.3959","4635.213","2220.8775"
"SEN","01/10/2025","21","2527.7148","14.9131","2.0898","884.9932","29089.5117","654.6545","334.2953","6590.6145","1370.9936","4656.2251","2142.7514"
"SEN","01/10/2025","22","2278.763","15.2668","2.1281","885.5836","28860.8625","603.6183","334.7909","6413.6707","1371.0484","4596.0046","1994.5056"
"SEN","01/10/2025","23","1958.1223","10.1768","2.1119","898.6456","28153.7016","559.3255","334.8299","6322.4772","1371.0579","4503.6057","1967.6664"
"SEN","01/10/2025","24","1785.6038","5.256","2.0361","892.8649","27382.6778","476.9167","335.3939","6029.2872","1371.7685","4157.1243","1858.6893"
"SEN","02/10/2025","1","1769.5742","0.2941","2.0417","890.8607","26097.0971","398.0101","335.6207","5859.0721","1371.5482","3758.9045","1490.761"
"SEN","02/10/2025","2","1791.4947","0.007","2.0419","906.596","24842.4338","436.25","334.6708","5688.7561","1371.7254","3715.194","1330.6758"
"SEN","02/10/2025","3","1633.76","0.0072","2.0422","866.1095","23805.5256","565.5708","334.0694","5567.561","1371.5317","3727.1186","1251.8927"
"SEN","02/10/2025","4","1421.7027","0.0071","2.0424","840.482","23176.9116","502.2184","334.0015","5460.2505","1371.441","3723.343","1233.8552"
"SEN","02/10/2025","5","1312.9194","0.1661","1.1816","816.3537","22927.5266","494.6666","334.2309","5391.3331","1371.0744","3726.1993","1250.9394"
"SEN","02/10/2025","6","1152.9465","0.0877","2.0224","842.6474","23278.914","496.6183","334.2932","5459.4799","1370.7551","3719.9968","1248.1738"
"SEN","02/10/2025","7","1043.8817","63.8848","2.0222","826.5126","23646.8794","532.7195","334.9436","5623.5547","1369.7968","3749.4042","1257.8619"
"SEN","02/10/2025","8","1200.3361","1538.9471","1.8925","840.9909","22976.519","538.1692","335.5427","5250.4883","1369.6984","3835.6471","1286.4492"
"SEN","02/10/2025","9","1421.7381","4081.1409","1.8896","846.8267","22562.6698","460.3662","334.3085","4398.4327","1369.149","3689.171","1285.2619"
"SEN","02/10/2025","10","1607.8496","5399.2545","1.8606","835.3441","22207.0904","439.3755","329.9453","4637.9993","1368.8782","3418.0661","1289.7383"
