"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: septiembre 2025"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/oct/2025 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/09/2025","1","2080.0116","1.338","1.9081","1117.5907","26972.8988","653.5021","321.8839","3776.5407","1416.8793","3466.3519","1645.9097"
"SEN","01/09/2025","2","1780.1279","0.0078","1.8942","1126.5536","26035.2353","570.3514","322.4146","3739.1007","1416.8686","3388.3799","1566.1165"
"SEN","01/09/2025","3","1798.6267","0.0086","1.6502","1129.1582","25774.4021","536.5644","322.5653","3197.3714","1417.1272","3131.6458","1530.9402"
"SEN","01/09/2025","4","1831.7631","0.0189","1.9072","1013.603","25963.6946","553.1843","322.6955","2435.6172","1414.2131","3077.2979","1485.5938"
"SEN","01/09/2025","5","1560.2665","0.0342","1.7627","982.8038","26104.0892","559.2727","321.4649","2053.9796","1416.9418","3152.551","1466.9895"
"SEN","01/09/2025","6","1327.7401","0.3404","1.6965","1022.9675","26438.5252","561.1089","318.9488","2092.9373","1419.7859","3234.7324","1469.9376"
"SEN","01/09/2025","7","1212.2158","103.192","1.9062","1191.9955","26915.2824","555.2607","319.393","2498.4259","1419.9355","3302.6366","1507.4446"
"SEN","01/09/2025","8","1093.7185","2046.5057","1.8905","1235.0223","26183.5467","540.4779","317.994","2675.5484","1418.9174","3295.1391","1574.7248"
"SEN","01/09/2025","9","1178.0699","4423.2519","1.8517","1228.3908","25225.7777","458.8826","317.7893","2864.8332","1418.816","3315.6341","1620.2263"
"SEN","01/09/2025","10","1258.3227","5729.3155","1.7122","1222.5587","25322.9028","452.5767","318.1075","2922.0942","1419.9132","3268.2279","1639.8259"
"SEN","01/09/2025","11","1330.3833","6271.775","1.7771","1225.1302","25850.2337","453.3636","318.0379","2960.8255","1419.4948","3239.825","1699.3123"
"SEN","01/09/2025","12","1073.3676","6402.6745","1.8262","1268.3045","26859.3724","461.1691","317.3463","2998.8355","1418.2719","3175.2146","1889.5652"
"SEN","01/09/2025","13","921.8383","6109.7587","2.2773","1703.0891","27250.2055","545.8306","317.8362","3078.6524","1414.6754","3355.6941","1903.0042"
"SEN","01/09/2025","14","822.774","5855.0475","2.3783","1841.641","27465.6819","594.3847","318.7917","3566.4193","1413.7337","3592.5707","2023.1533"
"SEN","01/09/2025","15","876.6085","5425.6825","3.2384","1877.9044","27917.8636","646.368","319.7531","3780.6588","1410.1888","3973.0177","2252.2693"
"SEN","01/09/2025","16","1010.5867","4652.5136","3.3413","1857.8166","28273.2363","703.6544","319.3478","4493.8696","1410.2851","4291.9761","2553.7951"
"SEN","01/09/2025","17","1120.967","3937.6524","3.1383","1828.3141","28247.2774","735.9409","318.8332","5447.5702","1409.7673","4363.1008","2576.0327"
"SEN","01/09/2025","18","1466.4732","2820.4497","2.7376","1713.5062","28418.2932","747.0471","319.1687","5551.7094","1408.8593","4470.169","2611.6898"
"SEN","01/09/2025","19","1465.7032","936.5943","3.4369","1713.8141","29205.5572","764.1304","318.8371","5975.3849","1411.8766","4760.2955","2621.0529"
"SEN","01/09/2025","20","1628.7596","37.455","3.347","1709.7937","29362.2349","758.0796","319.1588","6997.9906","1412.1281","5141.9385","2693.2044"
"SEN","01/09/2025","21","1719.5238","18.6046","3.3614","1701.4874","29246.3321","756.143","320.895","7180.4128","1410.5586","5219.4079","2721.988"
"SEN","01/09/2025","22","1785.4908","18.7707","3.3788","1282.5188","29098.6162","756.751","321.4468","6794.4476","1410.1155","5293.4948","2765.2187"
"SEN","01/09/2025","23","1876.6249","12.0059","3.2685","1221.706","28806.2019","756.8162","322.844","5736.9383","1409.0985","5287.1452","2750.1107"
"SEN","01/09/2025","24","1818.5215","10.0017","2.7385","1259.8734","28305.7681","730.8509","320.3402","4683.1588","1408.7969","5274.9183","2692.9839"
"SEN","02/09/2025","1","1481.5018","0.8488","2.7243","1312.8932","27433.3893","685.6597","318.6519","4449.2525","1410.907","5186.7298","2163.7955"
"SEN","02/09/2025","2","1366.2432","0.0099","2.7242","1372.8492","26944.6514","681.0309","321.7229","4095.4002","1413.3195","4881.0666","1837.8577"
"SEN","02/09/2025","3","1305.082","0.0114","2.4261","1426.4953","26435.1954","656.3926","321.9743","3695.6492","1415.4128","4587.6892","1815.2466"
"SEN","02/09/2025","4","1151.078","0.0156","2.4262","1430.9056","26433.6386","611.1472","323.1102","3105.4555","1416.3764","4524.3796","1713.7494"
"SEN","02/09/2025","5","1136.8318","0.0378","2.4264","1421.0337","26224.5132","611.4817","323.795","2985.5794","1417.3257","4362.2235","1666.119"
"SEN","02/09/2025","6","1270.1616","0.2169","2.4261","1405.1765","26347.4972","617.7036","323.6661","2835.633","1418.8847","4349.8946","1676.4551"
"SEN","02/09/2025","7","1136.8242","104.1219","2.4255","1417.8448","26676.8047","626.6243","324.2345","2927.1608","1417.7514","4332.3147","1657.1883"
"SEN","02/09/2025","8","1019.0987","1448.0009","2.4254","1380.4264","26174.2538","627.6359","325.0593","2996.685","1417.3605","4263.3427","1667.6085"
"SEN","02/09/2025","9","1103.7872","3839.0295","2.4559","1367.6859","25392.3547","546.2659","324.225","3000.9725","1417.3528","4112.3989","1633.4468"
"SEN","02/09/2025","10","1236.1645","5389.0198","2.6758","1376.9446","25238.0646","534.3136","322.108","2573.5918","1417.1646","4098.568","1663.0348"
"SEN","02/09/2025","11","1205.6624","6356.3467","2.6751","1396.9284","25396.2116","523.6189","321.6696","2319.1458","1416.0817","4076.6762","1737.1747"
"SEN","02/09/2025","12","1415.1827","6548.0103","2.7973","1426.0612","25732.6043","470.6775","321.1086","2274.607","1411.4306","4081.9031","1855.2142"
"SEN","02/09/2025","13","1402.1596","6229.5299","3.066","1440.5155","26632.7239","467.5025","318.9484","2509.0639","1408.9344","4211.0813","1864.1045"
"SEN","02/09/2025","14","1391.0443","5971.2934","3.0754","1489.653","27135.6142","473.2834","318.8746","3017.4036","1405.7988","4287.5126","1868.3122"
"SEN","02/09/2025","15","1463.767","5540.0687","3.0661","1828.7867","27403.2794","560.1615","318.5179","3514.3202","1403.062","4564.8702","1926.9737"
"SEN","02/09/2025","16","1563.9268","4957.9858","3.0657","1929.2582","27777.1838","571.013","318.1872","4195.7135","1402.4334","4567.3125","2051.8288"
"SEN","02/09/2025","17","1892.1355","3812.6987","2.9383","1949.5092","27759.8814","615.5873","321.0013","4865.7972","1401.7105","4658.0847","2394.6578"
"SEN","02/09/2025","18","1748.5268","2392.4104","2.4581","1909.983","28123.9845","639.5135","319.7909","5691.4921","1400.834","4685.9953","2404.6039"
"SEN","02/09/2025","19","1377.8262","747.4953","3.0936","1913.6702","29121.5441","641.4476","320.7739","5798.8381","1402.5498","5204.9101","2478.2981"
