"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: abril 2025"
"Proceso de Liquidacion: Re-Liquidacion Inicial (L1) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 25/jun/2025 05:05:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/04/2025","1","1228.1306","0.3806","23.0185","1897.2914","27431.0646","243.5954","398.6074","2984.3334","764.2862","4411.1352","1781.3182"
"SEN","01/04/2025","2","1149.8896","0.0034","23.4105","1471.7559","27083.2472","243.3725","400.2704","2528.0431","765.8317","4309.1071","1652.0145"
"SEN","01/04/2025","3","1116.8929","0.004","19.8826","1370.7721","26676.434","238.0132","400.1709","1871.4187","765.9978","4040.8568","1646.7144"
"SEN","01/04/2025","4","1060.1648","0.0044","18.846","1373.7812","26076.5798","235.2431","400.3352","1943.0278","766.0345","3911.703","1653.2725"
"SEN","01/04/2025","5","1016.49","0.0046","13.9972","1371.8921","26119.5399","232.2188","400.2679","1677.4278","766.2274","3872.0285","1636.8068"
"SEN","01/04/2025","6","1132.2873","0.158","4.4086","1367.8029","26488.7531","241.0232","398.7983","1444.3702","766.5291","3853.3777","1641.8258"
"SEN","01/04/2025","7","1374.4851","66.7634","2.0204","1367.0106","26799.6621","242.4737","397.9945","1165.7089","766.6407","3845.42","1634.9475"
"SEN","01/04/2025","8","1541.6397","1614.4414","2.0212","1365.26","26113.9569","229.6001","397.2183","1022.3029","766.3229","3757.6801","1659.0726"
"SEN","01/04/2025","9","1447.8282","4660.5113","2.0376","1366.1875","24184.6162","236.5768","397.201","1575.3187","765.7354","3625.7101","1623.3982"
"SEN","01/04/2025","10","1695.4394","5919.7602","1.9445","1332.4108","23009.2546","297.4654","397.2113","2162.1522","765.0473","3450.8886","1597.4744"
"SEN","01/04/2025","11","2110.0099","6273.2093","1.998","1331.9689","22737.9869","318.4013","398.3441","2263.7873","764.2536","3411.6462","1596.8974"
"SEN","01/04/2025","12","2337.8022","6337.1435","1.7601","1332.3587","22455.2215","317.0062","396.7326","2662.3294","763.4252","3437.8329","1592.6718"
"SEN","01/04/2025","13","2561.6823","6523.5864","1.8607","1356.0664","22325.3816","253.8152","399.3726","2899.5786","762.4574","3425.513","1615.0674"
"SEN","01/04/2025","14","2954.7852","6420.381","2.3233","1420.8973","22561.7797","327.5888","399.3482","2980.3693","761.6719","3415.0513","1625.4462"
"SEN","01/04/2025","15","3253.0544","6311.7731","2.2649","1486.2997","23247.8056","326.2539","399.0781","3134.7496","761.0087","3412.7903","1631.2916"
"SEN","01/04/2025","16","3388.9988","6098.0239","6.9384","1478.4846","23947.0156","326.4531","398.4779","3278.8936","760.2409","3583.6837","1674.0748"
