"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: agosto 2025"
"Proceso de Liquidacion: Re-Liquidacion Inicial (L1) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 26/oct/2025 05:05:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/08/2025","1","2614.4944","0.5894","2.4865","1849.7523","30667.791","659.8268","323.1331","3964.6276","1189.8408","2702.6017","2034.8696"
"SEN","01/08/2025","2","2588.6223","0.0025","2.4868","1299.0518","30231.1791","624.5232","324.3105","3775.8572","1190.8042","2657.116","1849.7821"
"SEN","01/08/2025","3","2998.8318","0.0024","2.4869","1213.6838","29501.6444","534.7867","324.7157","2983.4773","1197.9291","2498.7167","1745.0857"
"SEN","01/08/2025","4","3504.5319","0.0038","2.4869","1039.2855","28454.7101","509.7103","324.1629","2862.9264","1197.9988","2367.2039","1712.3362"
"SEN","01/08/2025","5","3543.9971","0.0045","2.4868","999.9648","28100.2758","466.6674","320.3662","2483.2693","1220.1453","2404.1731","1695.497"
"SEN","01/08/2025","6","3290.9999","1.3021","2.4864","1000.812","27968.2442","466.6294","325.4732","2547.0673","1294.0377","2381.0631","1614.6694"
"SEN","01/08/2025","7","3221.2705","255.8391","2.4862","1006.0068","27405.6731","459.1997","325.9535","2556.5242","1296.5809","2330.5736","1571.4596"
"SEN","01/08/2025","8","2850.8621","2582.4668","2.4857","1020.1736","26634.4521","469.5652","326.7178","2617.7237","1297.5504","2272.6137","1593.9028"
"SEN","01/08/2025","9","2761.7339","4795.7982","2.4856","1114.4368","25899.6746","470.0398","325.0815","2708.685","1294.3135","2270.9109","1612.9258"
"SEN","01/08/2025","10","3024.7218","5850.0155","2.485","1183.3376","25896.8139","453.8522","324.5857","2779.0588","1293.6972","2302.5395","1676.9119"
"SEN","01/08/2025","11","3132.1144","6474.1512","2.4852","1194.547","25865.819","443.6177","324.9403","2689.5399","1289.3195","2302.1903","1910.8231"
"SEN","01/08/2025","12","3203.7657","6818.3362","2.4848","1285.8319","26264.123","458.6859","325.75","2594.6525","1288.6799","2316.9469","2168.1829"
"SEN","01/08/2025","13","3133.9718","6665.4641","2.5734","1335.9471","26644.1462","455.3169","325.3082","3086.3247","1288.4392","2328.6583","2197.0499"
"SEN","01/08/2025","14","3256.0359","6667.1611","2.4066","1345.9587","27767.9723","496.4774","326.3302","3114.1018","1286.5539","2350.8162","2189.2134"
"SEN","01/08/2025","15","3570.3647","6194.6329","2.4065","1332.7101","28733.1573","515.7568","329.3302","3064.9687","1285.7462","2468.24","2267.0822"
"SEN","01/08/2025","16","3857.9861","5936.4883","2.2934","1330.5261","29026.5814","600.1144","325.6082","3572.6141","1284.7506","2510.5333","2322.3904"
"SEN","01/08/2025","17","3989.3613","5094.0995","2.6794","1329.7005","29605.251","638.0084","327.9339","4214.4905","1284.0627","2522.8428","2368.2125"
"SEN","01/08/2025","18","4212.8927","3580.355","2.6834","1308.6516","30137.8908","641.0141","329.0166","4591.8477","1284.0431","2523.7083","2444.2099"
"SEN","01/08/2025","19","4244.8122","2078.4203","2.9388","1292.004","30614.5048","656.6327","327.5713","4612.1853","1284.6119","2564.2995","2548.0525"
"SEN","01/08/2025","20","4237.7189","411.6378","2.7785","1301.7152","31281.3671","656.6637","328.9575","5219.8018","1284.7101","3163.5938","2568.6162"
"SEN","01/08/2025","21","4356.7278","25.2238","2.6976","1317.0113","31637.5895","663.0506","331.2665","5312.623","1284.1091","3223.6463","2595.9568"
"SEN","01/08/2025","22","4113.6793","20.7713","2.6743","1315.0671","31639.9055","662.7581","331.8304","5082.2116","1283.7406","3227.1321","2628.2448"
"SEN","01/08/2025","23","3931.4246","12.9911","2.5003","1310.1653","31570.7581","612.2133","331.8639","4658.5282","1284.5449","3208.9721","2586.2874"
"SEN","01/08/2025","24","3999.2967","12.9434","2.5084","1301.6783","30694.1205","609.5018","330.7022","4158.955","1285.344","3001.3631","2417.6519"
"SEN","02/08/2025","1","3938.2009","1.4509","2.5092","1315.5564","29696.5743","552.3105","330.1167","4359.9225","1286.0266","2517.2489","1784.0963"
"SEN","02/08/2025","2","3905.8421","0.0027","2.5097","1324.0951","28291.4751","499.7798","324.3237","4560.2902","1286.4144","2254.2846","1739.0056"
"SEN","02/08/2025","3","3759.553","0.0035","2.5097","1326.5651","27626.3518","420.0113","328.1601","4391.2346","1286.4743","2033.5862","1689.3601"
"SEN","02/08/2025","4","3726.247","0.0023","2.5148","1318.0404","27152.647","423.2881","329.8257","3864.8433","1286.68","2025.8388","1634.1658"
"SEN","02/08/2025","5","3429.576","0.0026","2.5213","1318.7423","27155.7468","423.0627","329.9661","3248.318","1287.0129","2066.9815","1605.7839"
