"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: diciembre 2026"
"Proceso de Liquidacion: Re-Liquidacion Inicial (L1) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 25/feb/2026 05:05:02 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/12/2025","1","2656.6139","0","2.0363","734.9201","21660.8183","281.2452","372.3069","2791.7046","755.0608","1746.7393","1090.6447"
"SEN","01/12/2025","2","2496.6872","0","1.7995","733.797","21011.2099","272.7098","372.9659","2533.9267","755.5897","1615.0073","1127.0168"
"SEN","01/12/2025","3","2424.8509","0","1.7994","735.577","20949.1629","270.0228","372.9086","2137.3144","755.9299","1555.996","1149.6681"
"SEN","01/12/2025","4","2108.8966","0","1.7999","735.3285","21016.1904","265.8809","373.0597","1851.2491","756.3854","1552.1699","1141.4752"
"SEN","01/12/2025","5","2110.4914","0","1.7994","735.4064","21361.2022","268.9144","372.9713","1737.0224","756.5446","1545.1142","1148.9601"
"SEN","01/12/2025","6","1976.2528","0","1.587","735.1731","22239.7379","278.3795","373.1762","1928.6444","757.1197","1560.1196","1194.3844"
"SEN","01/12/2025","7","1794.6144","14.1611","1.303","735.722","24067.9192","298.6479","373.0425","2206.4332","757.5193","1613.0152","1214.2467"
"SEN","01/12/2025","8","1853.9848","392.3652","1.3032","736.3354","24659.6228","308.8284","372.3122","2754.4354","757.8908","1705.8259","1245.8693"
"SEN","01/12/2025","9","1808.4404","1993.9066","1.7478","735.1249","24400.7028","288.9983","370.6763","3100.0719","758.1537","1693.8526","1232.0472"
"SEN","01/12/2025","10","1727.5821","3642.2024","1.9671","734.8874","24089.7186","301.542","369.0273","2660.9947","759.1315","1777.5365","1234.7625"
"SEN","01/12/2025","11","1760.1431","4393.4027","2.1303","734.4731","23619.677","297.7926","369.3346","2667.4098","760.1097","1853.4756","1227.9798"
"SEN","01/12/2025","12","2019.7119","4713.0115","2.2376","759.7459","23461.6494","288.9574","368.7165","2331.6587","758.7237","1949.817","1244.5279"
"SEN","01/12/2025","13","2203.2618","4595.3183","2.1166","1081.8888","23336.5888","289.2305","368.4748","2104.8996","757.9202","2189.0472","1268.7551"
"SEN","01/12/2025","14","2134.8907","4515.2097","1.2474","1095.0236","23674.2237","301.6082","368.8167","1996.461","757.5934","2612.6823","1279.7193"
"SEN","01/12/2025","15","2102.8966","3949.7334","1.6268","1096.3761","23990.5028","293.3711","368.8342","2451.11","756.8599","2915.3534","1387.3212"
"SEN","01/12/2025","16","2118.1674","3251.0651","2.3453","1097.6095","24539.7618","262.8558","368.3739","3065.0778","756.3995","2921.4402","1518.8481"
"SEN","01/12/2025","17","2071.4987","2122.5502","2.3482","1096.6325","25514.3583","258.4403","367.7439","3558.9558","756.4084","2942.9633","1750.6833"
"SEN","01/12/2025","18","1948.1475","627.8942","2.3484","1096.842","26314.6477","298.3998","368.5787","4015.2945","755.6892","2964.7272","2303.5979"
"SEN","01/12/2025","19","1825.1199","20.0212","2.3476","1096.3946","26408.8755","295.4644","369.3981","5473.2214","752.5835","3010.7233","2304.1876"
"SEN","01/12/2025","20","1718.0588","15.6721","2.3472","1096.5872","26489.8595","322.8536","369.9022","5531.8692","751.7342","3076.1227","2204.0388"
"SEN","01/12/2025","21","1439.9094","12.6417","2.3466","1098.6888","26762.4254","382.6321","370.1036","5232.4832","752.4932","3055.0585","2196.6606"
"SEN","01/12/2025","22","1336.6048","8.1748","2.3323","1098.5456","26762.1074","382.4875","370.6531","4383.4599","753.0136","3082.8452","2228.2091"
"SEN","01/12/2025","23","1326.4245","6.0079","2.3069","1096.5647","26583.4247","335.6458","371.1502","3548.7887","753.37","2745.246","2187.0658"
"SEN","01/12/2025","24","1359.9337","4.0263","2.1248","990.5069","25643.8541","304.8914","372.3399","3303.4916","754.1097","2450.2919","1987.1485"
"SEN","02/12/2025","1","1462.7336","1.6699","2.119","736.0642","25042.129","276.4962","374.8709","2736.3589","754.5043","2344.0433","1804.9154"
"SEN","02/12/2025","2","1733.1824","0.0016","2.1174","735.2509","24663.7871","277.8189","374.4777","2224.9517","755.1706","2274.014","1304.7615"
"SEN","02/12/2025","3","1993.4189","0.0008","2.1193","734.3243","23916.7791","275.4469","374.5808","1991.0068","755.7313","2214.654","1247.6278"
"SEN","02/12/2025","4","2016.2255","0.0006","2.1194","734.8474","23533.4823","264.0855","374.2026","1832.025","755.9769","2282.5363","1255.4569"
"SEN","02/12/2025","5","2113.7416","0.0015","2.1186","735.2704","23363.4474","260.8471","374.5328","1868.1561","756.2007","2233.8377","1258.5567"
"SEN","02/12/2025","6","2097.9902","0.0015","2.1193","733.9939","23844.0573","270.0592","374.8092","2013.8777","756.8536","2228.3343","1314.7148"
"SEN","02/12/2025","7","1989.0113","20.6332","2.1167","735.6981","24958.5789","299.3084","375.306","2396.651","757.177","2225.1061","1359.9034"
"SEN","02/12/2025","8","2090.6663","408.7762","2.1161","735.3377","25252.9722","306.6385","375.0936","2921.8008","757.5667","2259.7546","1378.3237"
"SEN","02/12/2025","9","2394.432","1879.5905","2.117","734.599","24372.5844","284.881","373.5665","3186.5701","757.8695","2326.995","1345.9544"
"SEN","02/12/2025","10","2519.4495","3923.1205","1.9292","735.0829","23313.7731","274.2676","365.5341","2694.3529","757.9031","2305.9558","1343.3283"
"SEN","02/12/2025","11","2566.1226","4760.0691","1.5983","733.9193","22867.3805","271.1956","350.3869","2442.7986","757.7846","2266.4739","1366.6716"
"SEN","02/12/2025","12","2600.7854","4773.7544","1.4688","733.5238","22855.467","276.9819","350.8494","2501.2547","757.7631","2334.7454","1472.8694"
"SEN","02/12/2025","13","2555.9303","4545.5074","1.9646","733.2899","23109.6864","280.3738","349.5357","2598.8907","757.4349","2414.6916","1486.099"
"SEN","02/12/2025","14","2449.4495","4492.9127","2.3172","733.6653","23233.7526","276.7817","354.3512","2564.9708","757.2102","2569.7488","1513.7236"
"SEN","02/12/2025","15","2479.2228","4377.97","2.3751","733.8395","23603.618","275.7565","368.7558","2639.6524","757.2634","2756.171","1542.7953"
"SEN","02/12/2025","16","2316.1423","3651.178","2.1378","933.8094","24474.5129","308.0102","368.2491","2898.6466","757.0624","3056.5785","1611.7921"
"SEN","02/12/2025","17","2268.499","2619.3679","1.8062","1093.33","24794.1011","396.4498","367.5604","3121.7457","757.2917","3480.4862","1840.5908"
"SEN","02/12/2025","18","2316.7725","853.1061","1.8124","1094.5881","25421.0928","414.7071","368.7312","3997.154","757.1456","3589.6222","2216.2281"
"SEN","02/12/2025","19","2376.6821","21.5276","1.8117","1095.3749","25982.825","355.699","370.4646","5218.1317","757.3738","3671.1611","2277.1912"
"SEN","02/12/2025","20","2372.9504","11.5488","2.1825","1095.2414","26014.0743","286.7495","371.8412","5178.952","757.8432","3713.3903","2275.185"
"SEN","02/12/2025","21","2389.7152","14.4456","2.375","1094.269","25987.7499","289.3709","371.9293","4926.0722","758.1448","3733.7405","2218.1112"
"SEN","02/12/2025","22","2440.3834","10.9471","2.3747","1094.2567","25560.2707","285.6693","372.3087","4367.9896","758.0003","3744.9452","2187.0142"
"SEN","02/12/2025","23","2530.6108","7.7744","2.3749","1095.4124","25065.4628","271.8641","372.4724","3507.3236","758.4177","3801.609","2113.2551"
"SEN","02/12/2025","24","2583.5892","3.0166","2.3758","834.351","24835.7814","273.3972","372.2661","2594.4926","758.5918","3589.1843","1895.04"
"SEN","03/12/2025","1","2532.1966","0.094","2.3763","734.2195","24219.4916","275.4543","372.7853","2366.6077","758.5584","3127.4126","1698.1634"
"SEN","03/12/2025","2","2406.8779","0.0006","2.3764","733.3287","23956.8855","277.3139","373.2754","2138.1951","758.8408","2945.1494","1180.7211"
"SEN","03/12/2025","3","2261.4414","0.0004","2.4216","733.0691","23376.1745","273.8688","372.1168","2108.2059","758.5653","2950.3955","1049.3775"
"SEN","03/12/2025","4","2191.628","0.0011","2.6748","733.0233","23017.9051","272.5814","372.3279","2113.4194","758.4999","2945.4799","1043.2976"
