"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: enero 2025"
"Proceso de Liquidacion: Re-Liquidacion Inicial (L1) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 28/mar/2025 05:05:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/01/2025","1","1747.9224","0.3215","24.4237","1180.4288","18658.6941","253.2421","410.1349","1180.9415","1535.347","1087.2944","1032.2663"
"SEN","01/01/2025","2","1597.6153","0.0036","18.8384","1199.3042","18779.9182","241.8716","409.1847","610.6787","1536.3536","1075.5072","1035.2825"
"SEN","01/01/2025","3","1533.1586","0.0044","22.0785","1196.5549","18203.7084","244.83","407.9137","596.118","1537.6858","1074.7621","1055.2799"
"SEN","01/01/2025","4","1506.4363","0.0042","20.3536","1195.7381","17670.9582","238.7929","408.8735","527.2968","1537.9342","1065.7877","1056.5999"
"SEN","01/01/2025","5","1439.4697","0.0039","13.4816","1193.4567","17101.7841","247.8225","401.3691","525.8606","1537.8374","1063.7319","1051.6978"
"SEN","01/01/2025","6","1462.314","0.0034","7.0351","1195.4131","16811.1062","260.0417","407.0067","520.2085","1538.0106","1050.095","1049.636"
"SEN","01/01/2025","7","1594.9312","5.2353","3.6574","1192.2402","16410.6155","252.6083","409.1274","509.951","1538.1875","1048.3952","1043.1119"
"SEN","01/01/2025","8","1728.584","222.8132","1.7442","1134.1276","15343.1779","251.8681","407.2491","615.3389","1538.132","1047.5261","1038.1767"
"SEN","01/01/2025","9","1897.2909","1476.6683","1.7437","1046.7976","13689.3939","240.724","405.9652","459.6641","1537.4631","1031.7741","1019.8682"
"SEN","01/01/2025","10","1773.2251","1957.6727","1.7438","1046.5576","13192.3678","215.589","404.3978","789.3682","1537.2452","1036.6171","1012.4678"
"SEN","01/01/2025","11","1982.1423","1904.0252","1.7437","1044.5721","13385.5746","232.5498","401.0209","710.865","1536.7201","1034.5043","1008.4577"
"SEN","01/01/2025","12","2167.0591","2361.2349","1.7436","1039.4415","13436.5021","206.45","400.2538","430.4856","1536.4196","1034.6022","1004.1134"
"SEN","01/01/2025","13","2230.1775","2327.0011","1.7952","1039.18","13436.7885","205.2101","400.3017","656.7496","1536.2767","1037.1529","1005.6211"
"SEN","01/01/2025","14","2361.8458","1913.4722","1.9726","1037.7174","13596.5939","205.3981","399.6501","885.8694","1536.0384","1103.1281","1028.1447"
"SEN","01/01/2025","15","2359.0771","2091.8188","1.9672","1039.5939","13634.1104","204.3434","399.3952","1213.4021","1535.6858","1204.3545","1024.1578"
"SEN","01/01/2025","16","2391.3781","2414.9226","1.9661","1035.4128","13891.3883","201.9185","398.6662","1263.9257","1535.4232","1245.6734","1028.8279"
"SEN","01/01/2025","17","2689.0131","1678.1552","1.9659","1035.4174","14571.4122","213.3432","397.7123","1625.4275","1535.3934","1256.5042","1091.3149"
"SEN","01/01/2025","18","3029.7659","1117.0841","1.9656","1043.1495","15704.9921","225.2908","398.821","1604.8887","1535.8955","1269.4706","1150.3854"
"SEN","01/01/2025","19","3512.3076","76.7117","1.9625","1044.0131","17691.6158","230.1232","399.5664","2432.6083","1536.1068","1275.779","1180.1232"
"SEN","01/01/2025","20","3502.1071","24.2723","1.9495","1047.034","18969.8133","229.1731","403.2029","2479.0855","1537.2237","1291.8836","1190.4102"
"SEN","01/01/2025","21","3456.062","21.3747","1.9421","1042.627","19354.3911","229.5155","405.9773","2085.0593","1537.7798","1309.8411","1190.3519"
"SEN","01/01/2025","22","3167.7749","9.0133","1.9436","1038.862","19360.8089","226.7999","406.6554","2041.0748","1538.7685","1310.0203","1182.2361"
"SEN","01/01/2025","23","3055.0014","8.0121","1.9438","1035.5614","19095.704","227.0359","407.5745","1571.9365","1538.9943","1310.977","1165.6277"
"SEN","01/01/2025","24","2902.3921","5.0275","1.9451","1035.7301","18301.7126","206.5505","409.2447","1370.8999","1539.2695","1331.2907","1140.0986"
"SEN","02/01/2025","1","2795.6693","0.3449","1.9485","1032.1034","17485.6984","200.5004","411.0231","1194.2301","1539.9152","1346.3058","1048.0238"
"SEN","02/01/2025","2","2588.9728","0.0032","1.9459","1025.5392","17077.3227","200.1332","412.1032","1018.622","1540.2854","1345.5251","1018.1993"
"SEN","02/01/2025","3","2392.0086","0.0039","1.9433","1028.0385","16758.2679","200.5274","412.3129","863.4246","1540.8493","1345.8184","1004.5949"
"SEN","02/01/2025","4","2363.6049","0.0041","1.9436","1034.3059","16389.3495","200.7275","411.8443","924.0659","1541.0684","1333.1609","999.8393"
"SEN","02/01/2025","5","2331.5137","0.0038","1.9318","1038.0249","16466.5564","201.132","412.1055","940.6065","1540.5167","1332.3081","997.9564"
"SEN","02/01/2025","6","2164.283","0.0036","1.9296","1041.1027","17380.1776","204.3036","411.578","856.9778","1540.9468","1332.1239","1004.8005"
"SEN","02/01/2025","7","2000.5296","2.2831","1.8331","1041.0635","18740.2344","228.298","410.8073","1240.4378","1540.4515","1328.1256","1025.1535"
"SEN","02/01/2025","8","2072.3844","206.3235","2.389","1043.4948","19563.646","248.1531","408.6549","1484.1386","1540.4518","1385.4952","1065.5464"
"SEN","02/01/2025","9","2157.3486","1749.4043","10.3407","1044.4081","19572.6728","264.7799","408.158","1422.5079","1540.3164","1438.9747","1072.3557"
"SEN","02/01/2025","10","2057.4195","3816.5863","9.0072","1043.0989","19506.6626","261.4496","406.8439","1080.4158","1540.2006","1430.723","1050.957"
"SEN","02/01/2025","11","1993.5952","4296.6035","4.0749","1037.4915","19609.2391","252.0664","404.5587","1096.389","1537.6995","1426.5141","1137.0856"
"SEN","02/01/2025","12","1975.9709","4364.9515","2.9752","1017.8797","19666.9885","259.6949","403.3465","1292.548","1535.4734","1453.4998","1157.6722"
"SEN","02/01/2025","13","2055.8105","4377.8209","2.9023","1039.2805","19831.3719","246.0385","403.2237","1200.6318","1537.1665","1524.6619","1178.0653"
"SEN","02/01/2025","14","2054.3058","4451.7401","4.8156","1038.2163","20267.1447","258.5751","402.2177","1217.8795","1539.0232","1535.8884","1176.3803"
