"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: julio 2025"
"Proceso de Liquidacion: Re-Liquidacion Inicial (L1) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 25/sep/2025 05:05:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/07/2025","1","978.2571","0.0038","2.9014","1420.1399","28207.1996","628.5208","369.2987","4986.8503","1401.7858","2479.4666","1875.4998"
"SEN","01/07/2025","2","843.9787","0.0004","2.9016","1414.1063","27645.6751","646.4491","355.4567","4165.9927","1401.9024","2443.6209","1817.2328"
"SEN","01/07/2025","3","791.7769","0.0036","2.9018","1412.0043","27168.0914","626.345","358.0504","3846.7213","1399.0656","2434.4883","1759.2804"
"SEN","01/07/2025","4","817.293","0.0097","2.9017","1342.4729","26542.4228","596.1364","358.7682","3782.2362","1398.6542","2339.6621","1704.1382"
"SEN","01/07/2025","5","752.1724","0.0161","2.8122","1328.9146","26358.2336","581.0443","359.0409","3614.134","1399.7688","2312.4511","1716.1867"
"SEN","01/07/2025","6","853.1885","3.611","2.6305","1334.2603","26341.7967","556.4162","359.4853","3612.8497","1382.1706","2301.1076","1711.3139"
"SEN","01/07/2025","7","916.2075","240.1502","2.6301","1333.9676","26303.7906","506.5876","359.2271","3591.8288","1395.3327","2294.8604","1688.8671"
"SEN","01/07/2025","8","974.9042","1467.1647","2.63","1302.1798","26424.7835","396.0169","359.5715","3471.1604","1436.6949","2299.5934","1595.3031"
"SEN","01/07/2025","9","996.4359","3157.7428","2.6299","1384.2525","26738.7672","397.6031","359.5195","3062.3364","1467.0565","2362.477","1565.7856"
"SEN","01/07/2025","10","954.2649","4505.4621","2.8644","1403.7924","26800.0742","384.1357","358.6897","3063.5542","1192.4617","2426.9058","1616.2182"
