"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: marzo 2025"
"Proceso de Liquidacion: Re-Liquidacion Inicial (L1) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 26/may/2025 05:05:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/03/2025","1","2272.9078","0.1636","29.4942","1905.2433","23940.1579","463.3148","441.6564","1607.9857","1527.7989","1755.5252","1530.4976"
"SEN","01/03/2025","2","2019.1521","0.0049","29.1902","1778.6193","23383.4457","460.4524","442.1732","1549.807","1527.9435","1621.0821","1485.1201"
"SEN","01/03/2025","3","1686.9089","0.0053","25.7983","1718.3513","23255.9359","461.7636","442.4342","1130.6137","1527.8564","1617.0889","1465.6015"
"SEN","01/03/2025","4","1390.0972","0.0058","28.8063","1721.5359","23240.3073","444.2971","441.9347","945.9473","1527.5355","1681.1642","1454.7276"
"SEN","01/03/2025","5","1030.7935","0.0054","23.963","1738.1631","23298.9005","447.1054","442.0571","896.0924","1527.7042","1830.3773","1471.5233"
"SEN","01/03/2025","6","941.0919","0.005","24.236","1744.5514","23244.9168","451.5381","442.6106","976.8102","1527.522","1905.4296","1494.0934"
"SEN","01/03/2025","7","838.2257","26.5865","24.8536","1714.9859","23312.4766","460.9838","443.0848","1336.8139","1527.3077","1898.0688","1539.294"
"SEN","01/03/2025","8","816.9258","729.004","23.7437","1721.7508","23078.1843","469.224","443.1691","1345.0661","1527.2443","1844.7815","1511.1904"
"SEN","01/03/2025","9","878.3729","3436.5363","23.8629","1728.3709","21350.5652","461.9755","442.8272","1586.2537","1527.3831","1816.3463","1462.4242"
"SEN","01/03/2025","10","830.242","5120.184","11.5568","1742.7995","19894.9563","429.7691","439.8926","1781.6503","1526.9906","1965.8884","1466.5456"
"SEN","01/03/2025","11","835.2352","5491.5417","8.2148","1741.9736","19918.9617","246.6618","439.0546","1534.6256","1526.7278","1995.9425","1497.8288"
"SEN","01/03/2025","12","905.0215","5815.8448","16.1318","1741.0454","19852.2837","253.5948","437.685","1594.8294","1526.3745","1993.3647","1488.5047"
"SEN","01/03/2025","13","1219.2356","5841.9415","18.8143","1739.8494","19873.6487","245.6956","435.9285","1544.1985","1525.5466","1990.5775","1480.2984"
"SEN","01/03/2025","14","1513.6658","5778.4351","21.5699","1733.6939","20120.5204","237.8099","433.8846","1269.9457","1524.6829","1971.2689","1475.8605"
"SEN","01/03/2025","15","1689.6469","5881.74","24.0532","1721.7148","19834.9978","245.9818","432.694","1409.4315","1523.4934","1958.4209","1461.7204"
"SEN","01/03/2025","16","1953.3111","5247.5827","19.011","1701.7524","20006.889","215.4686","432.3785","1743.2013","1523.5709","2001.7706","1557.4485"
"SEN","01/03/2025","17","2116.1786","4328.7837","21.5063","1694.5165","20260.4678","218.5441","432.7939","2402.6478","1524.2833","2190.7184","1623.3422"
"SEN","01/03/2025","18","2751.3786","3077.5397","23.6572","1675.2614","20358.4134","251.0919","431.6389","3233.346","1524.3649","2256.8248","1615.4784"
"SEN","01/03/2025","19","3621.2804","770.3748","27.5876","1777.7042","21529.5809","261.2329","434.2665","4199.3682","1524.2109","2190.1589","1594.0242"
"SEN","01/03/2025","20","3800.9487","31.4028","26.8512","1897.0331","22480.0047","265.7796","436.4978","5281.812","1523.9848","2077.6785","1595.0487"
"SEN","01/03/2025","21","3775.8683","21.6066","25.5012","1900.7874","22442.1133","258.6441","438.717","4969.306","1523.5312","2078.2496","1590.4276"
"SEN","01/03/2025","22","3560.0262","12.9986","25.8371","1898.3928","22417.8844","254.4743","442.8098","4148.704","1523.2756","2082.6063","1611.9912"
"SEN","01/03/2025","23","3486.9433","5.8801","26.2252","1899.0637","22329.4991","259.2923","449.0619","3046.0749","1523.2509","2076.491","1607.6165"
"SEN","01/03/2025","24","3475.5418","5.0142","27.2563","1912.6997","21937.1483","259.987","449.9672","1914.2323","1523.6539","2003.4516","1585.2228"
