"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: mayo 2025"
"Proceso de Liquidacion: Re-Liquidacion Inicial (L1) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 26/jul/2025 05:05:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/05/2025","1","2356.1579","0.5279","24.9758","1579.9084","27345.2257","247.9979","357.3021","3934.5631","765.534","3496.2381","2431.6699"
"SEN","01/05/2025","2","2219.5571","0.0042","25.804","1572.2598","26921.2038","231.374","357.2449","3308.7017","767.0478","3364.5444","2203.9878"
"SEN","01/05/2025","3","2046.1192","0.0046","22.8151","1569.4555","26854.1498","235.6117","356.7309","2612.7848","767.9445","3225.9493","1796.4001"
"SEN","01/05/2025","4","1882.5996","0.0047","21.6037","1563.5596","26562.7479","244.202","357.7745","2120.4631","768.4566","3201.1209","1724.4669"
"SEN","01/05/2025","5","1838.6263","0.0049","21.2007","1564.3729","26338.9591","243.9349","357.9599","1725.0678","769.7231","3204.6222","1599.7017"
"SEN","01/05/2025","6","1876.357","1.9071","20.9712","1564.0754","26017.5736","242.0751","358.3269","1356.3109","769.8242","2965.4039","1563.5426"
"SEN","01/05/2025","7","1542.7441","356.4159","20.1929","1569.8341","24775.9686","240.1959","358.6233","1064.2665","769.7567","2832.9622","1595.386"
"SEN","01/05/2025","8","1464.4767","3193.1706","18.8611","1566.9427","22389.6809","217.1368","358.6245","591.0203","769.8373","2753.9806","1594.6422"
"SEN","01/05/2025","9","1648.476","5329.2367","17.8557","1468.9772","20826.4478","214.0096","357.4666","718.2729","769.2121","2746.526","1572.074"
"SEN","01/05/2025","10","1925.8994","5983.5805","15.6312","1475.6596","19955.9361","199.2103","356.3854","1271.2087","769.1917","2731.19","1553.3692"
