"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: noviembre 2025"
"Proceso de Liquidacion: Re-Liquidacion Inicial (L1) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 25/ene/2026 05:05:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/11/2025","1","3044.9291","0.0424","2.4439","740.3315","24417.7417","331.4234","378.6465","3643.7015","754.9493","1695.7735","1140.0202"
"SEN","01/11/2025","2","2867.0085","0.0361","2.4439","740.3966","24075.5755","328.6718","378.9935","3022.5764","755.1201","1638.7531","1107.1903"
"SEN","01/11/2025","3","2745.2648","0.0191","2.4441","740.2789","24087.4472","316.2154","378.6861","2177.2376","755.3494","1603.4228","1084.5933"
"SEN","01/11/2025","4","2716.5955","0.0006","2.4442","740.597","23728.2275","287.3208","378.7798","2096.2157","755.5638","1566.8262","1073.3557"
"SEN","01/11/2025","5","2855.9415","0","2.4445","740.1084","23185.4582","283.3379","378.9419","2014.2174","755.6716","1568.924","1062.7342"
"SEN","01/11/2025","6","2891.0009","0.0024","2.4442","740.9678","23106.1339","288.8766","378.7581","2013.6443","755.6948","1567.1298","1064.1699"
"SEN","01/11/2025","7","2818.8638","43.365","2.4438","739.2781","22818.906","282.7507","378.5083","2296.741","756.1322","1565.8801","1072.5103"
"SEN","01/11/2025","8","2641.6426","1145.3942","2.4433","737.1146","21876.7428","260.8673","378.4318","2297.2449","756.1689","1495.3156","1123.7612"
"SEN","01/11/2025","9","2462.7768","4176.3566","2.2846","737.8632","20397.9473","252.454","378.0075","1932.8891","756.2637","1488.5746","1128.7306"
"SEN","01/11/2025","10","2378.1943","5734.7914","2.2266","735.0687","19710.2285","243.4897","377.2559","1889.0049","756.1524","1483.2772","1130.2448"
"SEN","01/11/2025","11","2782.7503","6056.4861","2.3245","736.7615","19673.0488","258.198","376.4149","1934.9997","755.8676","1451.0623","1128.3303"
"SEN","01/11/2025","12","2899.9418","6096.5165","2.4468","736.4094","19641.1808","258.8133","374.8141","2326.2303","755.3805","1467.258","1140.0705"
"SEN","01/11/2025","13","2905.5326","5855.63","2.4464","736.0869","19821.6798","259.8021","374.6446","2852.6375","754.9795","1550.8827","1179.6818"
"SEN","01/11/2025","14","2777.0231","5719.4782","1.9676","736.9117","20492.0583","266.0239","375.4516","2894.7786","754.5219","1599.0706","1165.4759"
"SEN","01/11/2025","15","2395.6838","5371.879","1.9718","736.8444","21128.2419","253.9165","375.6802","3317.2841","753.4479","1728.1993","1184.8243"
"SEN","01/11/2025","16","2276.5601","4907.1676","2.3192","736.8443","21709.6355","256.4494","375.079","3822.7331","752.7484","1722.4468","1212.0048"
"SEN","01/11/2025","17","2051.183","4014.6494","2.4444","737.2135","23163.7855","279.12","375.7301","4080.8652","752.0858","1751.8536","1265.1696"
"SEN","01/11/2025","18","1969.8725","1512.3917","2.4374","766.8294","25189.5687","283.1033","374.785","5228.2762","751.0366","1770.9777","1397.1078"
"SEN","01/11/2025","19","1971.8673","60.6074","2.2286","1026.0924","26559.3325","358.2378","375.7424","6394.3885","750.3982","1774.9651","1392.0967"
"SEN","01/11/2025","20","2176.2946","20.1393","1.8635","483.8697","26618.3638","340.6095","376.0662","6102.5644","750.1248","1795.3852","1368.5157"
"SEN","01/11/2025","21","2163.7412","16.7689","2.116","402.1668","26809.7826","336.3931","377.2341","5134.1745","750.558","1789.6616","1360.431"
"SEN","01/11/2025","22","1991.4949","8.1726","1.9411","402.129","27125.7724","339.9929","377.6517","4239.1884","750.5287","1744.4163","1301.3322"
"SEN","01/11/2025","23","1900.3324","5.5884","1.9856","402.7411","26531.6185","321.5201","378.1912","3862.5656","750.4493","1716.3029","1201.4943"
"SEN","01/11/2025","24","1931.0755","3.9998","2.032","424.4461","25225.4913","266.9098","378.698","3622.5466","750.2964","1762.1324","1177.1014"
"SEN","02/11/2025","1","2184.3627","0.1834","2.0252","523.8229","23542.2624","297.3509","367.5456","3391.453","750.7567","1855.7869","1095.5261"
"SEN","02/11/2025","2","2951.2007","0.001","2.0356","627.775","22448.2368","201.5271","367.8135","2689.0195","752.0007","1793.533","1082.975"
"SEN","02/11/2025","3","3040.4977","0.0009","2.0445","732.0342","21476.1675","181.6095","367.8315","2458.1855","752.6903","1719.3261","1081.2407"
"SEN","02/11/2025","4","2818.9173","0.0006","1.9949","737.4659","21063.9666","180.1933","368.1661","2153.8666","753.6807","1721.6144","1073.5224"
"SEN","02/11/2025","5","2737.2737","0.0009","1.5229","738.7456","20748.2303","233.0608","368.148","1917.4289","754.4337","1732.3844","1101.7734"
"SEN","02/11/2025","6","2672.4125","0.0051","1.48","738.0432","20432.4239","382.3716","368.5053","1828.642","754.8287","1728.2542","1108.9098"
"SEN","02/11/2025","7","2629.5761","40.8676","1.4253","738.2544","19967.0662","452.3774","367.9071","1983.3673","755.2229","1488.768","1113.2868"
"SEN","02/11/2025","8","2843.6554","1163.4284","1.7658","731.5558","18349.5249","392.0758","367.0038","1837.4558","755.8259","1391.8578","1137.6833"
"SEN","02/11/2025","9","2998.4337","3708.5559","1.9299","690.3184","16409.735","314.1524","365.9519","1331.3994","755.9156","1376.5652","1130.7167"
"SEN","02/11/2025","10","3132.711","4383.2605","2.1646","729.648","15925.4176","270.6204","365.1189","1163.1309","755.6336","1384.4857","1104.6823"
"SEN","02/11/2025","11","2993.8914","4905.7694","2.2034","768.8621","15648.651","238.5194","364.3893","1464.0933","755.815","1381.6033","1107.7948"
"SEN","02/11/2025","12","3112.6705","5380.1653","2.2436","816.3992","15430.8219","244.545","364.1869","1324.2152","755.708","1383.1827","1147.9921"
"SEN","02/11/2025","13","3097.3813","5354.6249","2.2477","812.3945","15762.3684","255.0002","359.2114","1460.972","755.0592","1385.506","1175.2657"
"SEN","02/11/2025","14","3047.9266","5493.9591","2.2478","813.5055","15879.3876","258.3941","361.9048","1672.8454","754.8573","1383.5706","1232.7159"
"SEN","02/11/2025","15","2923.1785","5552.5727","2.1979","819.9331","16413.3314","262.2884","363.1691","1853.5204","754.5402","1398.2357","1349.812"
"SEN","02/11/2025","16","2805.8402","5486.3234","1.0484","889.7351","16935.4217","292.1209","362.9821","2246.1781","754.4827","1515.7373","1392.3598"
"SEN","02/11/2025","17","2639.215","4493.3087","2.1554","901.5316","18550.4238","492.2906","363.201","2504.1153","754.9156","1627.4383","1474.1078"
"SEN","02/11/2025","18","2526.672","1528.7763","2.0703","901.2512","21440.7405","549.6909","363.3816","3549.1899","755.4177","1721.242","1571.1786"
"SEN","02/11/2025","19","2496.811","53.4958","1.973","902.247","23766.4773","552.7742","363.5783","4893.4015","756.2769","1725.2547","1610.9757"
"SEN","02/11/2025","20","2648.7947","15.4122","1.9347","899.4934","23909.8156","552.3355","364.3209","5369.7244","756.8567","1725.3591","1603.6966"
"SEN","02/11/2025","21","2662.7977","14.7364","1.9656","898.5755","24257.3253","558.9657","364.8065","5047.3188","757.1368","1698.3091","1484.7611"
"SEN","02/11/2025","22","2654.7975","9.2232","2.1009","898.0054","24526.9895","469.9315","365.4403","4405.7098","757.7729","1689.9534","1416.3426"
"SEN","02/11/2025","23","2572.9455","9.7148","2.0381","898.3548","24466.4339","335.3713","365.8202","3500.7214","758.0502","1690.1015","1341.6426"
"SEN","02/11/2025","24","2449.8062","2.0832","2.1057","897.9837","23562.0921","277.268","366.6748","3192.8502","758.1963","1692.4939","1309.7847"
"SEN","02/11/2025","25","6.6131","0","0","0","1118.337","0","142.6653","0","0","91.7384","64.6084"
"SEN","03/11/2025","1","2196.4557","0.0569","2.1935","899.7479","22443.3852","186.3802","377.2944","2771.3111","758.0141","1718.4894","1379.0248"
"SEN","03/11/2025","2","1995.571","0.0012","2.0169","900.934","21672.0576","181.5698","377.298","2516.0445","758.2842","1713.1903","1379.5649"
"SEN","03/11/2025","3","2052.2145","0.0012","1.5349","901.0998","20936.5887","178.2644","377.7738","2420.7292","758.5392","1711.1726","1365.3125"
"SEN","03/11/2025","4","1886.7445","0.0009","1.4641","903.1968","20712.8411","175.0742","377.8271","2322.6287","758.6371","1694.2311","1331.6491"
"SEN","03/11/2025","5","1773.6934","0.0007","1.3047","902.9357","21003.7287","170.6061","378.2727","2192.1638","758.7317","1698.5763","1307.3811"
"SEN","03/11/2025","6","1991.6937","0.0854","1.4143","902.2538","21916.5071","173.2847","378.4385","1845.9342","758.8455","1699.5527","1298.3015"
"SEN","03/11/2025","7","1963.055","32.6819","1.4299","902.9628","23379.1571","183.6219","377.6092","1941.2744","758.9858","1699.2192","1275.9737"
"SEN","03/11/2025","8","1954.4195","1053.0114","1.3263","901.1423","23534.3711","188.7201","377.2769","2367.0792","759.4924","1670.7073","1318.9281"
"SEN","03/11/2025","9","1808.3254","3961.9369","1.3251","874.6425","22720.3125","185.977","377.4122","2179.8574","759.7538","1601.7946","1332.5189"
"SEN","03/11/2025","10","2006.6968","5607.9019","2.0053","814.1818","21960.9009","198.5933","375.7736","1917.624","760.5546","1692.0184","1359.0049"
"SEN","03/11/2025","11","1981.2411","6044.4228","2.4118","814.1008","22043.9374","192.2435","373.205","1937.1405","761.6378","1759.6485","1362.8975"
"SEN","03/11/2025","12","1988.6581","6331.6593","2.4431","814.111","22544.7879","209.2921","374.4117","1792.203","761.6386","1762.5224","1378.4914"
"SEN","03/11/2025","13","2152.5543","6372.8594","2.4399","808.1695","22893.5297","304.4724","374.9641","1890.32","760.3695","1835.5114","1393.8936"
"SEN","03/11/2025","14","2329.094","6323.117","2.4397","794.5862","23222.1674","369.0553","374.7459","2000.8432","760.5312","1833.4205","1432.3656"
"SEN","03/11/2025","15","2673.2968","6267.1193","2.439","814.8575","23314.9785","513.4962","375.1836","2303.366","760.997","1848.6001","1552.5935"
"SEN","03/11/2025","16","2797.1674","6071.4024","2.3555","818.4619","23938.727","462.3494","375.5685","2668.1124","761.0291","1915.0929","1591.7831"
"SEN","03/11/2025","17","2755.1083","5014.2381","2.1307","878.1753","24279.641","537.9513","376.6758","3932.107","761.1819","1921.6466","1604.5491"
"SEN","03/11/2025","18","2949.9426","1707.4548","2.342","898.1411","26071.4624","546.1779","376.8786","5549.7924","761.1397","1891.3333","1760.3415"
"SEN","03/11/2025","19","3576.1846","53.9483","2.6341","898.3619","26844.2913","537.6755","377.0139","6250.935","761.073","1966.7659","1762.6896"
"SEN","03/11/2025","20","3719.4415","16.4702","2.628","898.9116","26592.5598","551.8202","377.3205","6543.8671","761.3142","1935.492","1657.1646"
"SEN","03/11/2025","21","3719.2853","11.9373","2.2099","898.1022","26026.6601","491.3643","375.7345","6742.2241","761.7909","1933.359","1638.0059"
"SEN","03/11/2025","22","3609.8187","7.0656","1.33","898.3107","25004.0515","432.3367","375.6843","6860.3038","761.9721","1930.5305","1599.0236"
"SEN","03/11/2025","23","3301.3247","6.5645","1.77","899.5897","24607.7905","337.8996","376.6585","6034.9665","762.192","1906.0695","1544.5722"
"SEN","03/11/2025","24","3092.615","5.6025","2.4086","900.5533","24176.3603","332.2025","376.5823","4929.2633","762.5838","1867.869","1507.0082"
