"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: octubre 2025"
"Proceso de Liquidacion: Re-Liquidacion Inicial (L1) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 26/dic/2025 05:05:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/10/2025","1","1260.1287","0.0529","2.8327","885.0434","25806.8978","543.9627","292.5575","5905.7412","1370.7008","3624.337","1609.5064"
"SEN","01/10/2025","2","1332.5503","0.0013","2.8324","613.7373","24777.6598","502.8198","293.2443","5875.519","1370.6856","3550.0349","1430.4738"
"SEN","01/10/2025","3","1011.7312","0.0013","2.8335","534.5623","24487.9965","460.1138","326.6929","5556.0134","1370.8437","3510.6096","1345.5873"
"SEN","01/10/2025","4","786.3743","0.0004","2.8337","561.0332","24304.9375","363.7014","338.5719","5354.4803","1371.1029","3480.9569","1306.157"
"SEN","01/10/2025","5","774.9936","0.0009","2.8216","669.584","24073.9492","318.8893","335.2268","5177.8835","1371.2748","3480.1678","1290.1899"
"SEN","01/10/2025","6","648.144","0.188","2.8105","786.2682","24131.9791","308.6706","336.4624","5232.8835","1371.43","3512.3851","1295.3921"
"SEN","01/10/2025","7","499.3737","61.7837","2.8","809.7317","24316.8989","292.1949","337.7433","5430.6676","1371.373","3687.2567","1302.5861"
"SEN","01/10/2025","8","516.9658","1563.5141","2.7292","764.0118","23997.5814","296.0269","337.2503","5123.2214","1371.4832","3634.9308","1338.8164"
"SEN","01/10/2025","9","693.3654","4634.5921","2.738","737.4774","23208.8917","304.2591","336.315","4329.4322","1371.2435","3436.013","1353.0824"
"SEN","01/10/2025","10","1050.2378","5897.9352","2.7206","741.8149","22386.5518","302.7333","334.8022","4311.6077","1370.1597","3410.8013","1368.9278"
"SEN","01/10/2025","11","1463.6796","6271.8727","1.4032","776.3798","22299.3354","319.2939","330.6394","4092.0908","1369.4783","3444.719","1379.8909"
"SEN","01/10/2025","12","1698.9483","6440.9544","2.0692","800.6843","22312.3329","353.683","320.5519","4548.607","1368.8699","3461.682","1421.1504"
"SEN","01/10/2025","13","1759.4708","6502.6351","2.2339","787.8929","22544.7305","353.2546","311.9052","5038.4548","1368.2917","3492.3158","1462.7949"
"SEN","01/10/2025","14","2143.2355","6436.0511","2.2349","797.3318","22775.2559","418.6465","312.3362","5302.5542","1367.8807","3505.1383","1525.9491"
"SEN","01/10/2025","15","1995.8136","6202.5185","2.234","855.6754","23385.1065","404.6244","330.9926","5867.0671","1367.7683","3563.0917","1571.7665"
"SEN","01/10/2025","16","2084.2973","5730.1","2.2029","895.5287","24498.4549","402.1239","331.3401","6272.3146","1367.503","3598.1676","1745.4645"
"SEN","01/10/2025","17","2163.942","4785.9695","2.2309","891.7864","25884.9068","404.5145","330.3699","6400.2503","1367.7919","3658.8267","1798.7172"
"SEN","01/10/2025","18","2261.7768","2853.8625","1.9064","895.1651","26924.3415","490.2494","334.7986","6591.6041","1369.1568","4150.4075","1948.4968"
"SEN","01/10/2025","19","2537.3814","456.8186","2.2072","897.1306","28848.3649","597.7545","334.814","6818.5438","1369.731","4492.5078","2026.241"
