"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: diciembre 2026"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 22/abr/2026 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/12/2025","1","2656.6139","0","2.0363","734.9201","21660.8183","281.2452","363.8184","2791.7857","755.0608","1746.7377","1092.7382"
"SEN","01/12/2025","2","2496.6872","0","1.7995","733.797","21011.2099","272.7098","364.4176","2534.0002","755.5897","1615.0073","1128.8335"
"SEN","01/12/2025","3","2424.8509","0","1.7994","735.577","20949.1629","270.0228","364.3888","2137.3893","755.9299","1555.9952","1151.635"
"SEN","01/12/2025","4","2108.8966","0","1.7999","735.3285","21016.1904","265.8809","364.5731","1851.3261","756.3854","1552.1698","1143.6084"
"SEN","01/12/2025","5","2110.4914","0","1.7994","735.4064","21361.2022","268.9144","364.5265","1737.1002","756.5446","1545.114","1151.0149"
"SEN","01/12/2025","6","1976.2528","0","1.587","735.1731","22239.7379","278.3795","364.8139","1928.7198","757.1197","1560.0227","1199.3263"
"SEN","01/12/2025","7","1794.6144","14.1611","1.303","735.722","24067.9192","298.6479","364.7457","2206.5307","757.5193","1610.1039","1220.0627"
"SEN","01/12/2025","8","1853.9848","392.3645","1.3032","736.3354","24659.6228","308.8284","364.5156","2754.5173","757.8908","1701.5171","1251.5471"
"SEN","01/12/2025","9","1808.4404","1993.3666","1.7478","735.1249","24400.7028","288.9983","362.9035","3100.1572","758.1537","1689.5788","1237.1959"
"SEN","01/12/2025","10","1727.5821","3640.5259","1.9671","734.8874","24089.7186","301.542","361.3244","2661.0748","759.1315","1773.1829","1238.5138"
"SEN","01/12/2025","11","1760.1431","4394.2309","2.1303","734.4731","23619.677","297.7926","361.5769","2667.4892","760.1097","1848.6927","1232.4362"
"SEN","01/12/2025","12","2019.7119","4711.8869","2.2376","759.7459","23461.6494","288.9574","360.9325","2329.4882","758.7237","1945.2801","1250.2635"
"SEN","01/12/2025","13","2203.2618","4595.3315","2.1166","1081.8888","23336.5888","289.2305","360.7081","2104.7637","757.9202","2184.1604","1275.7356"
"SEN","01/12/2025","14","2134.8907","4515.2928","1.2474","1095.0236","23674.2237","301.6082","361.0691","1996.5312","757.5934","2607.8073","1287.3021"
"SEN","01/12/2025","15","2102.8966","3951.1347","1.6268","1096.3761","23990.5028","293.3711","361.1363","2451.1846","756.8599","2910.4825","1395.5576"
"SEN","01/12/2025","16","2118.1674","3251.151","2.3453","1097.6095","24539.7618","262.8558","360.7491","3065.1479","756.3995","2916.5406","1527.3628"
"SEN","01/12/2025","17","2071.4987","2123.3548","2.3482","1096.6325","25514.3583","258.4403","360.2091","3559.026","756.4084","2938.0895","1759.1324"
"SEN","01/12/2025","18","1948.1475","628.405","2.3484","1096.842","26314.6477","298.3998","361.028","4015.3736","755.6892","2959.8252","2311.7801"
"SEN","01/12/2025","19","1825.1199","20.0678","2.3476","1096.3946","26408.8755","294.6644","361.7582","5473.3034","752.5835","3005.8383","2312.8624"
"SEN","01/12/2025","20","1718.0588","15.6721","2.3472","1096.5872","26489.8595","322.0536","362.2754","5531.9825","751.7342","3071.2062","2213.8972"
"SEN","01/12/2025","21","1439.9094","12.6417","2.3466","1098.6888","26762.4254","382.1321","362.5853","5232.6141","752.4932","3050.1353","2206.737"
"SEN","01/12/2025","22","1336.6048","8.1748","2.3323","1098.5456","26762.1074","381.9875","363.0593","4383.5889","753.0136","3077.9127","2238.2207"
"SEN","01/12/2025","23","1326.4245","6.0079","2.3069","1096.5647","26583.4247","335.6458","363.6453","3548.8991","753.37","2740.3095","2196.0161"
"SEN","01/12/2025","24","1359.9337","4.0263","2.1248","990.5069","25643.8541","304.8914","364.7707","3303.5816","754.1097","2445.3379","1996.0044"
"SEN","02/12/2025","1","1462.7336","1.6699","2.119","736.0642","25042.129","276.4962","364.9761","2736.428","754.5043","2339.6228","1801.4695"
"SEN","02/12/2025","2","1733.1824","0.0016","2.1174","735.2509","24663.7871","277.8189","364.58","2225.0252","755.1706","2269.8034","1300.675"
"SEN","02/12/2025","3","1993.4189","0.0008","2.1193","734.3243","23916.7791","275.447","364.5438","1991.0751","755.7313","2210.4468","1243.5865"
"SEN","02/12/2025","4","2016.2255","0.0006","2.1194","734.8474","23533.4823","264.0855","364.0343","1832.0872","755.9769","2278.3579","1251.3611"
