"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: febrero 2025"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 20/jun/2025 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/02/2025","1","2716.5717","0.4895","28.9867","1272.0766","23332.4053","243.3263","438.383","745.8016","1555.1029","3028.2262","1868.499"
"SEN","01/02/2025","2","2727.6752","0.0041","28.1572","1220.9013","22679.8475","214.6772","438.6334","745.5629","1555.8646","2716.5098","1608.5982"
"SEN","01/02/2025","3","2643.1464","0.0037","26.7689","1256.3326","22228.6247","213.5168","437.8917","725.854","1555.8184","2216.7948","1514.3543"
"SEN","01/02/2025","4","2537.8403","0.0042","26.6231","1261.7016","22028.1675","206.0435","438.1304","738.1484","1555.934","2048.8572","1358.6837"
"SEN","01/02/2025","5","2363.6263","0.0044","28.4668","1255.9067","22398.0898","219.5979","437.9193","806.37","1556.1536","1904.0691","1083.8207"
"SEN","01/02/2025","6","2343.8518","0.0047","24.8972","1255.8616","22414.9247","221.1392","438.3309","901.5016","1556.9018","1915.5157","1074.9844"
"SEN","01/02/2025","7","2260.0877","0.7184","28.6557","1254.7994","22894.9284","223.3915","438.0501","951.1584","1557.3637","2004.7552","1176.3592"
"SEN","01/02/2025","8","2219.5138","180.3311","26.0399","1241.3081","22353.9144","222.5924","438.6352","1874.2857","1557.2343","1998.9372","1259.6294"
"SEN","01/02/2025","9","2138.4655","2174.2758","25.4224","1296.4429","21309.4648","190.5475","438.0104","2086.6548","1557.6404","1940.6652","1233.8121"
"SEN","01/02/2025","10","2002.8268","4405.6811","25.8369","1355.8023","20596.6303","194.7477","436.6098","1299.482","1557.0457","1986.2582","1136.5968"
"SEN","01/02/2025","11","2044.6122","4732.0751","28.134","1347.1849","20255.8224","196.7776","438.1931","1412.5292","1557.4693","1965.3334","1126.0239"
"SEN","01/02/2025","12","1969.3369","5069.0237","28.8335","1313.0659","20386.3412","199.2595","436.0702","1190.4343","1557.164","1949.1418","1126.1548"
"SEN","01/02/2025","13","1909.6348","4743.6997","28.407","1224.5742","20803.6767","198.5268","434.1287","1183.0168","1556.9026","1943.5394","1131.8167"
"SEN","01/02/2025","14","2071.0744","4674.2531","29.4068","1215.4385","20778.5732","195.032","433.1612","1112.4513","1556.8353","1955.2339","1137.9241"
"SEN","01/02/2025","15","2256.2226","4314.7206","29.6216","1219.851","20755.5866","206.0455","432.7124","1069.3844","1556.9367","1801.1496","1245.3346"
"SEN","01/02/2025","16","2358.6613","3916.2816","26.319","1234.6671","20738.3328","201.9524","431.4873","1345.6485","1557.1455","1712.4136","1239.0933"
"SEN","01/02/2025","17","2422.6357","3264.0883","27.6585","1283.0158","21046.4242","226.8411","431.0567","1808.7269","1557.6522","1736.2124","1438.9794"
"SEN","01/02/2025","18","2577.1454","2353.6803","28.7048","1285.1228","21196.6184","243.8054","430.7477","2482.8777","1557.9452","1860.1555","1544.1021"
"SEN","01/02/2025","19","2971.3492","359.4828","28.3825","1285.2438","22332.4334","278.1014","431.5644","3737.5118","1557.8121","1945.3769","1564.3813"
"SEN","01/02/2025","20","3305.3799","14.6215","26.9431","1294.6899","23034.9334","275.0406","433.0686","4401.4141","1558.1344","2023.3488","1585.1611"
"SEN","01/02/2025","21","3451.9743","9.8684","27.6427","1502.0371","22881.6411","262.7458","435.1714","3488.2781","1557.7848","2093.0678","1589.7629"
"SEN","01/02/2025","22","3591.8901","9.0198","25.591","1551.7244","22784.3986","251.8198","436.279","2568.3209","1557.7302","2068.4765","1582.893"
"SEN","01/02/2025","23","3460.0135","9.0181","28.0665","1418.5055","22475.052","249.7272","437.301","1753.9345","1558.3911","2007.137","1413.5927"
"SEN","01/02/2025","24","3286.3091","7.0522","28.3059","1278.5434","21791.0837","244.3297","437.6413","1418.0151","1557.7916","2025.6248","1146.6903"
"SEN","02/02/2025","1","3284.9725","1.215","29.6067","1279.6126","20972.4409","181.3261","437.8764","717.5053","1558.0797","2083.5556","1165.8313"
"SEN","02/02/2025","2","3182.0207","0.0042","27.5252","1256.5596","20338.3094","144.5111","438.0727","583.9399","1557.9764","2067.5928","1179.1986"
"SEN","02/02/2025","3","3010.2568","0.0048","26.2935","1215.7881","19751.9072","140.5894","438.3941","567.7008","1558.2547","1994.8902","1167.7549"
"SEN","02/02/2025","4","2795.9201","0.0049","26.3794","1211.1068","19573.1113","138.4991","437.8486","527.558","1558.4769","1934.4117","1149.4663"
"SEN","02/02/2025","5","2701.3136","0.0052","19.9922","1200.9586","19264.4418","138.1679","437.7892","611.0464","1558.5962","1812.6283","1114.7054"
"SEN","02/02/2025","6","2713.846","0.0042","21.6571","1195.8611","19116.6473","143.0622","437.9011","801.7441","1558.705","1821.9424","1100.9804"
"SEN","02/02/2025","7","2668.46","4.7579","10.105","1191.8926","18889.7891","137.7546","437.9083","1367.4359","1558.7626","1668.0073","1087.3272"
"SEN","02/02/2025","8","2545.4348","218.8624","4.9231","1195.6524","18549.7919","139.393","437.4224","1579.4903","1558.5531","1602.4041","1079.1585"
"SEN","02/02/2025","9","2292.5208","2294.8551","1.6763","1191.2607","17474.3982","167.2279","437.2645","1135.2584","1558.6043","1603.9891","1059.2324"
"SEN","02/02/2025","10","2144.6063","4947.4802","1.7942","1174.7466","15546.7195","169.3775","435.113","1032.806","1558.0817","1594.051","1043.2493"
"SEN","02/02/2025","11","2340.6342","5581.4577","1.7574","1176.2009","14552.995","175.9465","433.7509","1180.3771","1557.0079","1575.9616","1045.8987"
"SEN","02/02/2025","12","2503.1588","5468.9691","1.7155","1166.6547","14509.6572","161.4879","433.1856","1092.2365","1556.7506","1574.0451","1043.1667"
"SEN","02/02/2025","13","2627.4854","5280.7891","1.8407","1180.7244","14561.3625","173.3678","431.5598","1160.6692","1556.2377","1580.4287","1039.2997"
"SEN","02/02/2025","14","2607.7102","5205.9031","2.2619","1184.1925","14550.7093","173.5681","431.4577","1348.9753","1555.1364","1591.1423","1032.331"
"SEN","02/02/2025","15","2730.576","4979.729","2.0257","1193.5908","14966.4819","187.3865","429.1144","1374.6111","1553.9033","1588.9412","998.7395"
"SEN","02/02/2025","16","3000.6702","4842.1265","2.1437","1198.0131","15372.1799","197.5397","427.9614","1433.5459","1553.6742","1587.3502","994.5359"
"SEN","02/02/2025","17","3229.5584","4103.914","2.2784","1203.4232","16373.0373","222.2963","430.6601","1689.2393","1554.1029","1687.3996","989.4313"
"SEN","02/02/2025","18","3502.3659","2693.5837","2.1642","1230.0448","17478.3818","248.7186","431.6484","1783.2189","1554.0118","2008.2533","1090.7807"
"SEN","02/02/2025","19","3753.2339","364.4111","2.1148","1337.8803","19854.0175","261.7474","430.9342","2413.7489","1554.2881","2179.8797","1176.0855"
"SEN","02/02/2025","20","3866.8476","15.0387","2.1484","1479.7349","21242.6326","277.0802","432.7118","2211.7356","1555.629","2314.8136","1284.1809"
"SEN","02/02/2025","21","3965.7222","13.8559","2.1633","1385.6031","20857.7296","273.7408","435.1966","2406.6519","1556.2062","2330.5043","1267.1839"
"SEN","02/02/2025","22","3856.3584","10.0155","2.0136","1209.3588","20751.6389","274.2881","436.0439","2272.7628","1556.1761","2332.3323","1270.6244"
"SEN","02/02/2025","23","3909.1619","8.0978","2.0804","1209.1932","20083.4184","272.8442","436.1447","1823.2268","1556.0867","2309.4267","1264.1745"
"SEN","02/02/2025","24","3680.7323","7.0608","2.0333","1206.3674","19312.254","249.6648","436.3999","1233.4852","1555.4612","2298.5077","1236.2591"
"SEN","03/02/2025","1","3646.6712","0.701","2.0612","1216.1289","18585.1464","165.7664","437.2269","1052.063","1555.4122","2049.7906","1220.6546"
"SEN","03/02/2025","2","3721.2564","0.0055","2.1219","1228.8498","18088.6833","158.2886","438.0419","679.6072","1555.4989","1677.9738","1198.3263"
"SEN","03/02/2025","3","3777.7579","0.0052","2.2598","1201.7571","17520.5282","160.5975","438.0767","551.403","1554.9278","1607.5344","1174.6687"
"SEN","03/02/2025","4","3694.785","0.0055","2.3052","1200.9212","16955.3877","160.3345","438.3527","485.8809","1555.3181","1602.8106","1157.911"
"SEN","03/02/2025","5","3674.617","0.0495","1.9794","1204.8946","16648.1952","159.3615","439.1283","568.2","1554.6953","1598.5914","1167.7116"
"SEN","03/02/2025","6","3671.6491","0.0481","1.9734","1203.9918","16564.1605","157.813","438.7972","897.7009","1554.8105","1589.6458","1176.3811"
"SEN","03/02/2025","7","3746.6772","2.2846","1.8478","1208.6249","16468.1872","159.2029","438.8314","1331.6035","1554.8658","1591.5114","1200.0383"
"SEN","03/02/2025","8","3629.1047","201.1861","1.7322","1210.6529","16477.3576","154.9102","437.6264","1485.2995","1554.2348","1588.9192","1204.459"
"SEN","03/02/2025","9","3443.8508","2249.502","1.6528","1212.4303","15826.2529","141.3217","436.5668","943.8038","1553.3559","1580.9832","1162.7538"
"SEN","03/02/2025","10","2868.4185","4442.0606","1.8162","1210.0666","15389.9796","125.5993","434.8094","641.0012","1552.2588","1570.4405","1161.3181"
"SEN","03/02/2025","11","2783.0377","5139.1199","1.9092","1205.6072","15231.1948","128.6082","433.8026","645.2721","1551.5375","1536.572","1171.0057"
"SEN","03/02/2025","12","2798.4001","5117.1999","1.8068","1207.2533","15364.5912","133.5429","432.7444","958.2308","1550.5667","1538.0789","1172.3873"
"SEN","03/02/2025","13","2998.6966","5182.8002","1.651","1206.9541","15244.8037","132.5109","432.9099","1141.4351","1548.1324","1545.8169","1171.3425"
"SEN","03/02/2025","14","3428.152","4661.9963","1.8151","1211.7883","15879.0723","136.6161","431.4692","1241.9465","1547.6351","1548.517","1164.1827"
"SEN","03/02/2025","15","3482.1585","4890.3327","0.4897","1221.677","16282.003","151.1046","431.0076","941.5302","1546.4205","1541.9339","1147.7318"
"SEN","03/02/2025","16","3579.8941","4413.3011","1.6764","1276.7412","16995.3835","151.8668","428.3356","1087.0379","1545.1197","1550.0761","1118.8755"
"SEN","03/02/2025","17","3721.8309","4308.7926","2.0839","1279.6799","17303.421","159.1964","429.3872","1366.8791","1544.5254","1602.7113","1227.9688"
"SEN","03/02/2025","18","3999.486","2924.1871","2.1482","1284.9334","17973.215","180.0471","430.048","2137.638","1544.0396","1705.8806","1242.3991"
"SEN","03/02/2025","19","3948.7952","367.6629","2.1697","1276.9411","20536.319","243.4177","431.1459","3692.4035","1543.038","1754.3822","1285.3916"
"SEN","03/02/2025","20","3919.488","14.8224","2.1101","1273.6123","21757.98","243.5603","432.2245","4069.0636","1542.7065","2175.8834","1295.2394"
"SEN","03/02/2025","21","3901.7761","11.0287","1.9878","1279.2706","22253.0791","272.5338","433.7015","3343.4697","1542.1401","2393.5913","1291.1374"
"SEN","03/02/2025","22","3880.5573","10.0081","1.9422","1271.934","22234.9296","258.5953","433.9217","2490.3281","1542.5986","2424.5655","1296.8891"
"SEN","03/02/2025","23","3822.008","8.0458","2.1956","1267.365","21979.3743","226.8896","434.9894","1546.3901","1542.9075","2236.1555","1202.5227"
"SEN","03/02/2025","24","3919.0389","7.9991","2.0782","1263.9265","21003.0639","149.6152","434.365","853.685","1542.3262","1998.834","1147.7611"
"SEN","04/02/2025","1","3792.699","0.6503","2.1645","1269.3612","20210.4942","132.5936","434.937","556.5224","1542.0144","1746.3222","1123.3942"
"SEN","04/02/2025","2","3364.2452","0.0047","2.1327","1282.3569","19723.9201","139.0937","435.463","569.8767","1541.6175","1672.5607","1070.6153"
"SEN","04/02/2025","3","3145.0089","0.0048","2.1379","1240.3058","19465.637","132.2623","435.3838","510.1708","1542.3508","1650.4113","1072.1124"
"SEN","04/02/2025","4","2942.7451","0.0053","2.0163","1192.3581","19037.6196","130.0549","435.4124","818.9825","1542.1157","1616.7348","1073.8016"
"SEN","04/02/2025","5","2803.9957","0.0049","1.9081","1193.2587","19575.4025","129.9985","435.5889","582.91","1542.7741","1620.1633","1075.5229"
"SEN","04/02/2025","6","2851.3664","0.0048","1.8607","1273.2875","20347.1078","141.2279","409.866","628.5058","1543.3498","1775.9043","1098.9333"
"SEN","04/02/2025","7","2736.9947","10.5974","1.6096","1269.9884","21388.2001","166.5575","311.2528","1437.0879","1544.0564","2167.7093","1255.5075"
"SEN","04/02/2025","8","2634.1493","266.8163","2.737","1416.1274","22230.6815","167.4647","342.4356","2117.3105","1543.9647","2240.7701","1290.0189"
"SEN","04/02/2025","9","2371.9574","2648.0161","4.9413","1528.2318","21985.8934","161.998","367.8446","1747.9629","1501.3537","2240.382","1224.8067"
"SEN","04/02/2025","10","2302.0334","5398.4868","14.2908","1525.4654","20560.0771","140.5926","366.259","1268.5501","1486.4367","2236.8845","1217.9785"
"SEN","04/02/2025","11","2530.3594","5992.3553","15.8149","1488.3877","19913.0166","140.1054","365.7743","1100.0393","1510.8612","2322.0318","1212.3791"
"SEN","04/02/2025","12","2975.7073","6086.9868","22.1871","1285.3347","20040.6074","140.9795","358.5545","1063.2279","1520.2814","2263.0463","1169.9301"
"SEN","04/02/2025","13","3186.5393","6056.4427","22.8639","1284.9823","19976.999","112.9721","360.2141","1256.5911","1533.7252","2275.5999","1176.7895"
"SEN","04/02/2025","14","3693.779","5589.5707","25.301","1496.6229","20163.2109","106.5314","362.4373","1256.7103","1538.9671","2312.1915","1174.8712"
"SEN","04/02/2025","15","3985.8446","5513.4686","26.6341","1531.8408","20080.2805","111.4738","364.9216","1543.0466","1538.9957","2387.9795","1165.7378"
"SEN","04/02/2025","16","4048.665","5164.7855","24.317","1532.7389","20536.8547","132.4343","364.5116","2140.1904","1537.674","2379.8796","1227.0231"
"SEN","04/02/2025","17","3954.3881","4732.5227","22.4224","1536.4603","20826.4498","135.8033","362.8172","2040.4703","1535.9198","2392.3445","1929.7857"
"SEN","04/02/2025","18","3911.5406","2850.9471","18.5799","1528.5111","21917.2782","164.8775","364.5092","2898.715","1531.6333","2379.2895","2186.1324"
"SEN","04/02/2025","19","3951.69","405.4855","19.4784","1519.6922","23244.6748","228.6937","368.0707","4259.8668","1521.5797","2466.2849","2081.7694"
"SEN","04/02/2025","20","3948.7103","15.3937","22.8108","1521.3827","23657.3962","181.8491","381.8464","5191.4524","1519.5754","2605.2394","2124.7962"
"SEN","04/02/2025","21","3797.3045","15.088","20.3688","1519.7839","23705.4142","180.6402","384.352","4928.7589","1527.408","2615.5837","2201.0491"
"SEN","04/02/2025","22","3908.2964","11.1848","21.7747","1511.9588","23497.8342","228.293","385.9562","3999.0824","1528.7789","2613.7476","2203.2429"
"SEN","04/02/2025","23","3768.4395","5.3165","23.0652","1516.063","23429.9313","229.5832","386.469","2819.4343","1531.2669","2610.6498","2189.6257"
"SEN","04/02/2025","24","3833.2302","4.0172","25.1927","1534.4026","22906.951","172.0551","387.3751","1732.1078","1533.1567","2613.0579","2019.2214"
"SEN","05/02/2025","1","3951.1963","0.1697","25.8171","1517.8377","22545.042","243.1298","388.7957","1057.6372","1536.004","2459.7299","1280.2151"
"SEN","05/02/2025","2","3695.8942","0.0049","27.2869","1310.9381","22415.6454","247.1029","391.5925","693.1362","1540.2264","2184.776","1247.278"
"SEN","05/02/2025","3","3538.5632","0.0049","25.9264","1264.041","22210.5578","241.1722","392.651","578.3115","1543.1126","2008.3818","1212.9927"
"SEN","05/02/2025","4","3292.4525","0.0051","25.534","1236.2565","22322.2929","245.3621","391.6587","592.8909","1544.7728","1639.8077","1190.507"
"SEN","05/02/2025","5","3201.025","0.0047","25.768","1244.1245","22487.7634","242.2148","401.6491","506.5369","1545.7631","1639.9709","1186.7755"
"SEN","05/02/2025","6","3244.2484","0.0043","24.6157","1250.4691","22952.351","243.1849","404.8641","575.462","1546.2566","1713.8602","1193.6646"
"SEN","05/02/2025","7","3114.9389","2.25","21.5444","1336.9075","23429.9531","250.3805","404.3123","1448.8028","1547.1163","2040.5262","1228.7853"
"SEN","05/02/2025","8","3153.7694","252.4095","20.2595","1531.6624","23516.398","243.7334","398.3765","1958.4205","1547.4369","2212.5316","1280.0492"
"SEN","05/02/2025","9","3038.8634","2535.2627","23.6925","1524.8543","22977.6956","231.7469","394.8979","1502.3975","1547.4632","2240.2141","1244.4026"
