"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: marzo 2025"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 21/jul/2025 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/03/2025","1","2272.9078","0.1636","29.4942","1905.2433","23940.0318","463.3148","441.6564","1605.7222","1527.7989","1755.6105","1530.5947"
"SEN","01/03/2025","2","2019.1521","0.0049","29.1902","1778.6193","23383.2609","460.4524","442.1732","1547.8549","1527.9435","1621.1651","1485.1225"
"SEN","01/03/2025","3","1686.9089","0.0053","25.7983","1718.3513","23255.8006","461.7636","442.4342","1128.6824","1527.8564","1617.1752","1465.5604"
"SEN","01/03/2025","4","1390.0972","0.0058","28.8063","1721.5359","23240.1335","444.2971","441.9347","944.2226","1527.5355","1681.2478","1454.7264"
"SEN","01/03/2025","5","1030.7935","0.0054","23.963","1738.1631","23298.8087","447.1054","442.0571","894.2557","1527.7042","1830.4518","1471.4241"
"SEN","01/03/2025","6","941.0919","0.005","24.236","1744.5514","23244.7532","451.5381","442.6106","974.9594","1527.522","1905.4987","1494.061"
"SEN","01/03/2025","7","838.2257","26.5865","24.8536","1714.9859","23312.5359","460.9838","443.0848","1334.884","1527.3077","1898.1386","1539.295"
"SEN","01/03/2025","8","816.9258","729.2641","23.7437","1721.7508","23078.0699","469.224","443.1691","1343.1242","1527.2443","1844.8594","1511.2667"
"SEN","01/03/2025","9","878.3729","3437.529","23.8629","1728.3709","21350.6328","461.9755","442.8272","1584.4336","1527.3831","1816.4146","1462.5098"
"SEN","01/03/2025","10","830.242","5121.793","11.5568","1742.7995","19894.705","429.7691","439.8926","1779.7709","1526.9906","1965.9624","1466.5453"
"SEN","01/03/2025","11","835.2352","5491.2793","8.2148","1741.9736","19918.8188","246.6618","439.0546","1532.5699","1526.7278","1996.0135","1497.6999"
"SEN","01/03/2025","12","905.0215","5816.508","16.1318","1741.0454","19852.1285","253.5948","437.685","1592.8458","1526.3745","1993.6391","1488.3196"
"SEN","01/03/2025","13","1219.2356","5841.9062","18.8143","1739.8494","19873.5082","245.6956","435.9285","1542.2487","1525.5466","1991.2129","1480.2463"
