"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: mayo 2025"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 20/sep/2025 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/05/2025","1","2356.0587","0.5279","24.9758","1579.9084","27345.8373","247.9979","357.3021","3932.51","765.534","3495.9532","2431.7639"
"SEN","01/05/2025","2","2219.5206","0.0042","25.804","1572.2598","26921.6693","231.374","357.2449","3306.6816","767.0478","3362.8009","2204.0026"
"SEN","01/05/2025","3","2046.0228","0.0046","22.8151","1569.4555","26854.4936","235.6117","356.7309","2610.7792","767.9445","3225.0647","1796.4135"
"SEN","01/05/2025","4","1882.6422","0.0047","21.6037","1563.5596","26563.1634","244.2021","357.7745","2118.5485","768.4566","3201.7422","1724.4784"
"SEN","01/05/2025","5","1838.6302","0.0049","21.2007","1564.3729","26339.4019","243.9349","357.9599","1723.1671","769.7231","3205.5279","1599.7602"
"SEN","01/05/2025","6","1876.3292","1.9071","20.9713","1564.0754","26018.0361","242.0751","358.3269","1354.2941","769.8242","2966.1952","1563.5982"
"SEN","01/05/2025","7","1542.6983","356.416","20.1929","1569.8341","24776.3617","240.1958","358.6233","1062.4348","769.7567","2833.2107","1595.4641"
"SEN","01/05/2025","8","1464.4978","3193.1706","18.8611","1566.9427","22390.1097","217.1368","358.6245","589.3605","769.8373","2753.7774","1594.8286"
"SEN","01/05/2025","9","1648.4085","5329.2368","17.8557","1468.9772","20826.8262","214.0096","357.4666","716.5244","769.2121","2747.5517","1572.2503"
"SEN","01/05/2025","10","1925.8157","5983.5806","15.6312","1475.6596","19956.3066","199.2103","356.3854","1269.3871","769.1917","2732.6359","1553.5463"
"SEN","01/05/2025","11","2152.3339","6276.3748","14.6988","1581.9357","20393.4255","210.4628","356.8761","1113.5208","768.9692","2723.3502","1549.5446"
