"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: noviembre 2025"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 22/mar/2026 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/11/2025","1","3045.1691","0.0424","2.4439","740.3315","24413.0795","331.4234","368.5815","3644.7901","754.9493","1695.7735","1140.101"
"SEN","01/11/2025","2","2867.3026","0.0361","2.4439","740.3966","24070.9727","328.6718","369.6017","3023.8465","755.1201","1638.7531","1107.3011"
"SEN","01/11/2025","3","2745.6048","0.0191","2.4441","740.2789","24082.7735","316.2154","369.2674","2177.9995","755.3494","1603.4228","1086.0548"
"SEN","01/11/2025","4","2716.5615","0.0006","2.4442","740.597","23723.6022","287.3208","369.2889","2096.6978","755.5638","1566.8263","1074.0581"
"SEN","01/11/2025","5","2856.0834","0","2.4445","740.1084","23180.7851","283.3379","369.3883","2014.7177","755.6716","1568.924","1063.9602"
"SEN","01/11/2025","6","2890.6008","0.0024","2.4442","740.9678","23101.463","288.8766","369.1981","2014.0619","755.6948","1567.1298","1064.1846"
"SEN","01/11/2025","7","2819.2088","43.365","2.4438","739.2781","22814.1978","282.7507","369.0446","2297.2627","756.1322","1565.8801","1074.0324"
"SEN","01/11/2025","8","2642.2287","1145.3942","2.4433","737.1146","21872.0537","260.8673","369.0191","2297.8852","756.1689","1495.3156","1125.6444"
"SEN","01/11/2025","9","2463.0778","4176.3566","2.2846","737.8632","20393.3109","252.454","368.4808","1933.8733","756.2637","1488.5746","1131.0182"
"SEN","01/11/2025","10","2378.062","5734.7914","2.2266","735.0687","19705.4811","243.4897","367.8089","1890.3664","756.1524","1483.2772","1133.5749"
"SEN","01/11/2025","11","2782.7974","6056.4861","2.3245","736.7615","19668.3752","258.198","367.09","1936.6275","755.8676","1451.0623","1130.5378"
"SEN","01/11/2025","12","2899.7263","6096.5165","2.4468","736.4094","19636.5648","258.8133","365.6174","2328.299","755.3805","1467.258","1141.4369"
"SEN","01/11/2025","13","2905.2689","5855.63","2.4464","736.0869","19816.9939","259.8021","366.0927","2854.5136","754.9795","1550.8827","1177.9594"
"SEN","01/11/2025","14","2777.2157","5719.4782","1.9676","736.9117","20487.453","266.0239","366.8405","2896.9742","754.5219","1599.0706","1163.698"
"SEN","01/11/2025","15","2395.8965","5371.879","1.9718","736.8444","21120.7123","253.9165","367.1284","3319.6381","753.4479","1728.1993","1182.2049"
"SEN","01/11/2025","16","2276.5516","4907.1676","2.3192","736.8443","21705.0896","256.4494","366.5983","3824.9796","752.7484","1722.4468","1210.4255"
"SEN","01/11/2025","17","2051.1626","4014.6494","2.4444","737.2135","23159.2235","279.12","367.1945","4083.2137","752.0858","1751.8536","1263.1533"
"SEN","01/11/2025","18","1969.8274","1512.3917","2.4374","766.8294","25185.0156","283.1033","366.1228","5230.8624","751.0366","1770.9777","1395.0586"
"SEN","01/11/2025","19","1971.4338","60.6074","2.2286","1026.0924","26556.2474","358.2378","366.8732","6396.7468","750.3982","1774.9651","1389.2004"
"SEN","01/11/2025","20","2175.5416","20.1393","1.8635","483.8697","26613.7836","340.6095","367.0987","6104.9485","750.1248","1795.3852","1367.6107"
"SEN","01/11/2025","21","2164.0942","16.7689","2.116","402.1668","26805.1559","336.3931","368.0195","5136.4888","750.558","1789.6616","1359.9947"
"SEN","01/11/2025","22","1991.8504","8.1726","1.9411","402.129","27121.1101","339.9929","368.285","4241.1255","750.5287","1744.4163","1300.8482"
"SEN","01/11/2025","23","1900.7051","5.5884","1.9856","402.7411","26526.8739","321.5201","368.5771","3864.1962","750.4493","1716.3029","1202.085"
"SEN","01/11/2025","24","1931.5723","3.9998","2.032","424.4461","25220.8314","266.9098","369.0374","3624.0925","750.2964","1762.1324","1177.5804"
"SEN","02/11/2025","1","2184.4056","0.1834","2.0252","523.8229","23542.0479","297.3509","367.5456","3391.9493","750.7567","1855.7869","1094.845"
"SEN","02/11/2025","2","2952.2781","0.001","2.0356","627.775","22448.0751","201.5271","367.8135","2689.4215","752.0007","1793.533","1082.9959"
"SEN","02/11/2025","3","3040.3771","0.0009","2.0445","732.0342","21475.9357","181.6095","367.8315","2458.367","752.6903","1719.3261","1081.468"
"SEN","02/11/2025","4","2818.7493","0.0006","1.9949","737.4659","21063.8251","180.1933","368.1661","2153.8762","753.6807","1721.6144","1073.7928"
"SEN","02/11/2025","5","2737.5274","0.0009","1.5229","738.7456","20748.0642","233.0608","368.148","1917.4295","754.4337","1732.3844","1102.0132"
"SEN","02/11/2025","6","2672.6551","0.0051","1.48","738.0432","20432.2795","382.3716","368.5053","1828.642","754.8287","1728.2542","1113.6444"
"SEN","02/11/2025","7","2629.9154","40.8676","1.4253","738.2544","19966.9319","452.3774","367.9071","1983.3682","755.2229","1488.768","1117.3722"
"SEN","02/11/2025","8","2844.003","1163.4284","1.7658","731.5558","18349.3471","392.0758","367.0038","1837.4625","755.8259","1391.8578","1142.4001"
"SEN","02/11/2025","9","2998.8231","3708.5559","1.9299","690.3184","16409.6004","314.1524","365.9519","1331.4011","755.9156","1376.5652","1131.8274"
"SEN","02/11/2025","10","3133.0784","4383.2605","2.1646","729.648","15925.1168","270.6204","365.1189","1163.1307","755.6336","1384.4857","1104.6129"
"SEN","02/11/2025","11","2993.8965","4905.7694","2.2034","768.8621","15648.6077","238.5194","364.3893","1464.0937","755.815","1381.6033","1107.8602"
"SEN","02/11/2025","12","3112.6786","5380.1653","2.2436","816.3992","15430.7382","244.545","364.1869","1324.2144","755.708","1383.1827","1148.8718"
"SEN","02/11/2025","13","3097.3813","5354.6249","2.2477","812.3945","15762.0872","255.0002","359.2114","1460.9722","755.0592","1385.506","1175.2591"
"SEN","02/11/2025","14","3047.9551","5493.9591","2.2478","813.5055","15879.2201","258.3941","361.9048","1672.8454","754.8573","1383.5706","1230.6137"
"SEN","02/11/2025","15","2923.362","5552.5727","2.1979","819.9331","16413.1912","262.2884","363.1691","1853.5211","754.5402","1398.2357","1347.919"
"SEN","02/11/2025","16","2805.9822","5486.3234","1.0484","889.7351","16935.2342","292.1209","362.9821","2246.1775","754.4827","1515.7373","1391.4283"
"SEN","02/11/2025","17","2639.24","4493.3087","2.1554","901.5316","18550.3408","492.2906","363.201","2504.1153","754.9156","1627.4383","1473.8309"
"SEN","02/11/2025","18","2526.2964","1528.7763","2.0703","901.2512","21440.5485","549.6909","363.3816","3549.1899","755.4177","1721.242","1573.0425"
"SEN","02/11/2025","19","2496.6738","53.4958","1.973","902.247","23766.3523","552.7742","363.5783","4893.4015","756.2769","1725.2547","1613.9197"
"SEN","02/11/2025","20","2648.6979","15.4122","1.9347","899.4934","23909.6797","552.3355","364.3209","5369.7244","756.8567","1725.3591","1607.0172"
"SEN","02/11/2025","21","2662.7251","14.7364","1.9656","898.5755","24257.1595","558.9657","364.8065","5047.3188","757.1368","1698.3091","1487.4729"
"SEN","02/11/2025","22","2655.3413","9.2232","2.1009","898.0054","24526.855","469.9315","365.4403","4405.7098","757.7729","1689.9534","1420.2047"
