"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: septiembre 2025"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 20/ene/2026 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/09/2025","1","2078.8056","1.3323","1.9081","1117.5287","26985.6853","659.8504","322.627","3780.6953","1416.8793","3466.1349","1632.8858"
"SEN","01/09/2025","2","1778.6738","0.0018","1.8942","1126.494","26046.1423","576.6328","322.3495","3744.5452","1416.8686","3388.1786","1554.1681"
"SEN","01/09/2025","3","1797.4507","0.0021","1.6502","1129.0972","25786.6651","542.8045","322.5664","3203.0174","1417.1272","3128.488","1522.9137"
"SEN","01/09/2025","4","1830.0236","0.0023","1.9072","1013.5594","25976.4258","559.1106","322.6398","2439.941","1414.2131","3073.7976","1486.3361"
"SEN","01/09/2025","5","1557.8907","0.0026","1.7627","982.7629","26117.7656","565.2672","321.3933","2057.8307","1416.9418","3149.1314","1471.2939"
"SEN","01/09/2025","6","1327.1713","0.2794","1.6965","1022.9219","26458.1216","567.6257","318.9988","2097.8743","1419.7859","3231.0567","1477.8475"
"SEN","01/09/2025","7","1210.8612","103.8349","1.9062","1191.9388","26940.7541","561.2719","319.3113","2500.0748","1419.9355","3298.6443","1534.3451"
"SEN","01/09/2025","8","1092.0927","2046.6603","1.8905","1234.963","26210.0732","543.9942","317.9534","2675.4776","1418.9174","3290.9113","1580.9493"
"SEN","01/09/2025","9","1176.5806","4423.2141","1.8517","1228.332","25250.9816","463.0135","317.7907","2865.2162","1418.816","3311.3678","1625.9474"
"SEN","01/09/2025","10","1256.592","5729.1141","1.7122","1222.4985","25339.7113","456.6147","318.0719","2924.1739","1419.9132","3264.0777","1644.9846"
"SEN","01/09/2025","11","1328.5236","6271.6117","1.7771","1225.0684","25870.8489","457.7807","317.9982","2961.7151","1419.4948","3235.6991","1709.707"
"SEN","01/09/2025","12","1071.8493","6402.7379","1.8262","1268.2415","26880.2967","464.42","317.3406","3001.3567","1418.2719","3171.4968","1893.3298"
