"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: abril 2025"
"Proceso de Liquidacion: Re-Liquidacion Final (L3)"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 03/dic/2025 05:15:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/04/2025","1","1228.1306","0.3806","23.0185","1897.2914","27433.0486","243.5954","399.0834","2983.2582","764.2862","4434.3136","1781.2497"
"SEN","01/04/2025","2","1149.8895","0.0034","23.4105","1471.7559","27083.9633","243.3725","400.266","2526.7251","765.8317","4332.48","1651.9383"
"SEN","01/04/2025","3","1116.8929","0.004","19.8826","1370.7721","26676.0644","238.0132","400.1228","1870.103","765.9978","4064.56","1646.6593"
"SEN","01/04/2025","4","1060.1649","0.0044","18.846","1373.7812","26076.3439","235.2431","400.4169","1941.7076","766.0345","3935.5573","1653.2323"
"SEN","01/04/2025","5","1016.4901","0.0046","13.9972","1371.8922","26120.5599","232.2188","400.16","1676.1048","766.2275","3896.0076","1636.8201"
"SEN","01/04/2025","6","1132.2873","0.158","4.4086","1367.8029","26479.1072","241.0232","398.8155","1443.0483","766.5291","3877.3103","1641.888"
"SEN","01/04/2025","7","1374.4851","66.8079","2.0204","1367.0106","26799.6058","242.4737","397.9114","1153.5392","766.6407","3869.2217","1634.975"
"SEN","01/04/2025","8","1541.6397","1615.4632","2.0212","1365.26","26115.63","229.6","397.0635","1009.9232","766.3229","3781.1846","1659.0885"
"SEN","01/04/2025","9","1447.8282","4662.7302","2.0376","1366.1876","24186.4883","236.5769","396.3231","1562.9392","765.7354","3648.9631","1623.4075"
"SEN","01/04/2025","10","1695.4395","5919.0438","1.9445","1332.4108","23015.5098","297.4654","395.8925","2149.773","765.0473","3473.9263","1597.4764"
"SEN","01/04/2025","11","2110.0099","6271.9492","1.998","1331.9689","22738.6609","318.4013","397.6701","2251.4054","764.2536","3434.7057","1596.9095"
"SEN","01/04/2025","12","2337.8022","6337.0358","1.7602","1332.3587","22460.891","317.0063","396.2448","2650.0554","763.4252","3460.1573","1592.6077"
"SEN","01/04/2025","13","2561.6823","6522.4575","1.8607","1356.0664","22325.9678","253.8153","399.1427","2898.2087","762.4574","3447.7697","1615.0316"
"SEN","01/04/2025","14","2954.7852","6421.3982","2.3233","1420.8973","22560.541","327.5888","398.9751","2979.1856","761.6719","3437.9732","1625.3923"
"SEN","01/04/2025","15","3253.0544","6311.8868","2.2649","1486.2997","23250.6818","326.2525","399.0255","3133.5043","761.0087","3435.2505","1631.2758"
"SEN","01/04/2025","16","3388.9989","6098.1465","6.9384","1478.4846","23947.2399","326.4531","398.5353","3277.6455","760.2409","3606.1691","1674.0697"
"SEN","01/04/2025","17","3538.6861","5367.1858","17.3522","1791.0031","24874.7186","353.0275","399.1357","3518.3818","759.2091","3699.6303","1739.4995"
"SEN","01/04/2025","18","3521.1123","3960.5186","25.7138","1844.9112","25360.0881","350.6498","399.7751","3958.7244","758.4875","3901.5856","1800.0564"
"SEN","01/04/2025","19","3276.0894","1196.7527","26.7012","1898.8657","26831.8679","274.7365","400.5474","4588.6317","757.8854","4003.6604","2128.4646"
