"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: agosto 2025"
"Proceso de Liquidacion: Re-Liquidacion Final (L3)"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 05/abr/2026 05:15:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/08/2025","1","2614.1181","0.5894","2.4865","1849.7523","30667.5596","659.8268","323.1331","3967.5806","1189.8408","2702.6017","2034.4402"
"SEN","01/08/2025","2","2588.2623","0.0025","2.4868","1299.0518","30231.089","624.5232","324.3992","3778.989","1190.8042","2657.116","1849.4408"
"SEN","01/08/2025","3","2998.4433","0.0024","2.4869","1213.6838","29501.6516","534.7867","324.6792","2987.0731","1197.9291","2498.7167","1744.814"
"SEN","01/08/2025","4","3504.1702","0.0038","2.4869","1039.2855","28454.504","509.7103","324.2571","2866.4476","1197.9988","2367.2039","1713.5804"
"SEN","01/08/2025","5","3543.0636","0.0045","2.4868","999.9648","28100.0742","466.6674","320.3488","2486.7177","1220.1453","2404.1731","1695.8899"
"SEN","01/08/2025","6","3290.1662","1.3021","2.4864","1000.812","27968.0092","466.6294","325.4297","2549.9153","1294.0377","2381.0631","1612.9423"
"SEN","01/08/2025","7","3220.1812","256.2073","2.4862","1006.0068","27405.5102","459.1997","325.8899","2559.3888","1296.5809","2330.5736","1569.5282"
"SEN","01/08/2025","8","2849.3659","2582.5051","2.4857","1020.1736","26634.331","469.5652","326.8144","2620.655","1297.5504","2272.6137","1593.408"
"SEN","01/08/2025","9","2760.3802","4795.9127","2.4856","1114.4368","25899.5232","470.0398","325.1116","2711.6524","1294.3135","2270.9109","1613.208"
"SEN","01/08/2025","10","3024.4558","5850.0313","2.485","1183.3376","25896.6382","453.8522","324.4909","2781.8286","1293.6972","2302.5395","1676.2417"
"SEN","01/08/2025","11","3132.4725","6474.1971","2.4852","1194.547","25865.7775","443.6177","325.1125","2692.3176","1289.3195","2302.1903","1911.9097"
"SEN","01/08/2025","12","3204.1745","6818.3809","2.4848","1285.8319","26263.967","458.6859","325.6603","2596.4098","1288.6799","2316.9469","2168.608"
"SEN","01/08/2025","13","3135.6167","6665.4877","2.5734","1335.9471","26644.0032","455.3169","325.2473","3089.2875","1288.4392","2328.6583","2196.6372"
"SEN","01/08/2025","14","3257.4607","6667.167","2.4066","1345.9587","27767.8271","496.4774","326.2763","3116.3266","1286.5539","2350.8162","2187.7411"
"SEN","01/08/2025","15","3571.8833","6194.6792","2.4065","1332.7101","28733.0736","515.7568","329.3998","3067.7067","1285.7462","2468.24","2265.4766"
"SEN","01/08/2025","16","3859.9034","5936.4822","2.2934","1330.5261","29026.4343","600.1144","325.6218","3577.432","1284.7506","2510.5333","2320.5985"
"SEN","01/08/2025","17","3990.5092","5094.0942","2.6794","1329.7005","29605.0187","638.0084","327.7914","4219.0381","1284.0627","2522.8428","2366.0067"
"SEN","01/08/2025","18","4214.6131","3580.4098","2.6834","1308.6516","30137.8706","641.0141","328.9461","4596.3627","1284.0431","2523.7083","2442.0305"
"SEN","01/08/2025","19","4246.4851","2078.5428","2.9388","1292.004","30614.4223","656.6327","327.6989","4616.7229","1284.6119","2564.2995","2547.0602"
"SEN","01/08/2025","20","4238.5582","412.3638","2.7785","1301.7152","31281.28","656.6637","329.0479","5224.3256","1284.7101","3163.5938","2568.0254"
"SEN","01/08/2025","21","4358.4971","25.2238","2.6976","1317.0113","31637.4599","663.0506","331.3615","5316.8443","1284.1091","3223.6463","2595.3531"
"SEN","01/08/2025","22","4113.2327","20.7713","2.6743","1315.0671","31639.7235","662.7581","331.6883","5086.2924","1283.7406","3227.1321","2626.7207"
"SEN","01/08/2025","23","3931.6777","12.9911","2.5003","1310.1653","31570.5991","612.2133","331.8741","4662.715","1284.5449","3208.9721","2585.8121"
"SEN","01/08/2025","24","3998.7957","12.9434","2.5084","1301.6783","30693.9628","609.5018","330.7378","4163.3402","1285.344","3001.3631","2416.7087"
"SEN","02/08/2025","1","3938.5356","1.4509","2.5092","1315.5564","29696.4682","552.3107","325.1801","4360.2681","1286.0266","2514.834","1784.0627"
"SEN","02/08/2025","2","3905.1096","0.0027","2.5097","1324.0951","28291.3334","499.7798","327.5338","4564.8449","1286.4144","2251.8777","1738.0333"
"SEN","02/08/2025","3","3759.6904","0.0035","2.5097","1326.5651","27626.0918","420.0113","329.97","4395.6022","1286.4743","2031.2918","1687.9589"
"SEN","02/08/2025","4","3725.5293","0.0023","2.5148","1318.0404","27152.4855","423.2881","329.7585","3869.1212","1286.68","2023.619","1634.7377"
"SEN","02/08/2025","5","3429.8661","0.0026","2.5213","1318.7423","27155.6117","423.0627","330.0393","3252.4846","1287.0129","2064.8367","1605.6387"
"SEN","02/08/2025","6","3270.6502","1.0969","2.5212","1342.2651","26911.019","421.8522","332.144","2951.4053","1287.5052","2077.2737","1576.8668"
"SEN","02/08/2025","7","2804.1304","260.6716","2.5208","1349.5645","26452.4029","458.3706","333.1692","2856.4076","1288.427","2089.5876","1533.4867"
"SEN","02/08/2025","8","2398.6937","2769.9708","2.5939","1311.3358","25448.1092","447.3529","334.3323","2473.3386","1288.4341","2045.793","1547.4137"
"SEN","02/08/2025","9","2421.6439","5589.4967","2.7981","1254.3262","24093.1227","442.8664","335.4484","2233.5013","1287.9023","1897.9813","1527.8302"
"SEN","02/08/2025","10","2778.9311","6546.0958","2.5831","1256.5723","24074.7475","439.4887","337.4889","2148.918","1286.6049","1883.046","1546.2537"
"SEN","02/08/2025","11","2938.9878","6798.028","2.5634","1258.8036","24459.8196","450.2383","336.9766","2058.6023","1285.8407","1906.1142","1624.9048"
"SEN","02/08/2025","12","2989.808","7099.1999","2.5193","1338.7789","24657.7239","510.8155","336.3243","2001.8397","1284.5319","1918.2459","1785.5623"
"SEN","02/08/2025","13","3174.4228","7113.4395","2.6811","1342.1657","25305.0827","527.8315","334.1142","1885.2279","1283.1494","1918.7719","1857.7898"
"SEN","02/08/2025","14","3052.807","6911.8468","2.7073","1322.4629","26082.1732","566.8359","332.5925","1879.4773","1279.8099","1926.6554","1916.6271"
"SEN","02/08/2025","15","2997.399","6626.721","2.7076","1319.591","26676.8497","565.2375","334.3964","2209.3192","1276.7707","1963.6325","1956.1525"
"SEN","02/08/2025","16","3293.035","6459.3018","2.7079","1329.1711","27251.6865","553.6848","335.5098","2038.5363","1274.9801","2014.1011","1962.9456"
"SEN","02/08/2025","17","3585.3638","6025.6066","2.7042","1318.9169","27597.9463","569.9097","333.6417","2581.3034","1272.9782","2034.8327","2019.7128"
"SEN","02/08/2025","18","3813.2838","5070.1751","2.7177","1321.8896","28199.748","568.8228","333.1682","2794.2509","1269.6698","2057.3325","2054.8686"
"SEN","02/08/2025","19","3532.4037","2788.7425","2.7179","1313.3447","29313.5552","657.9157","333.5274","3926.9541","1270.0961","2119.7112","2087.2856"
"SEN","02/08/2025","20","3466.5119","422.5074","2.6641","1309.2849","30205.518","672.476","333.9998","6116.236","1271.4784","2369.2649","2148.4489"
"SEN","02/08/2025","21","3371.1084","27.8092","2.7077","1315.0825","30424.8764","668.075","333.7709","6394.4193","1272.378","2580.565","2180.2124"
"SEN","02/08/2025","22","2980.6915","21.9318","2.5176","1317.5705","30447.6262","657.372","334.1373","6183.6461","1273.5879","2570.6503","2218.7889"
"SEN","02/08/2025","23","3572.9643","10.2145","2.5179","1315.1008","29064.4492","647.3985","334.8098","5749.3493","1275.8602","2504.7857","2242.2199"
"SEN","02/08/2025","24","4062.7218","8.0455","2.5015","1314.6635","27918.646","589.7423","334.8765","4963.5335","1277.5235","2422.9977","2121.3708"
"SEN","03/08/2025","1","3800.3874","0.6881","2.4895","1304.9053","27362.714","564.4851","334.4543","4665.8502","1279.0823","2376.6781","1804.8347"
"SEN","03/08/2025","2","3490.578","0.0029","2.4898","1302.0555","27013.6858","479.1845","334.823","3974.514","1280.1108","2379.3973","1680.1558"
