"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: julio 2025"
"Proceso de Liquidacion: Re-Liquidacion Final (L3)"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 05/mar/2026 05:15:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/07/2025","1","978.543","0.0038","2.9014","1420.1399","28208.523","628.5208","369.2987","4987.6445","1401.7858","2479.4666","1874.0154"
"SEN","01/07/2025","2","844.046","0.0004","2.9016","1414.1063","27649.5316","646.4491","355.4567","4166.654","1401.9024","2443.6209","1815.729"
"SEN","01/07/2025","3","791.8264","0.0036","2.9018","1412.0043","27162.5633","626.345","358.0504","3847.4757","1399.0656","2434.4883","1757.8005"
"SEN","01/07/2025","4","817.3579","0.0097","2.9017","1342.4729","26544.3919","596.1364","358.7682","3783.0401","1398.6542","2339.6621","1702.6541"
"SEN","01/07/2025","5","752.2669","0.0161","2.8122","1328.9146","26363.9015","581.0443","359.0409","3614.8524","1399.7688","2312.4511","1714.6993"
"SEN","01/07/2025","6","853.2105","3.611","2.6305","1334.2603","26337.3974","556.4162","359.4853","3613.5717","1382.1706","2301.1076","1709.8048"
"SEN","01/07/2025","7","916.179","240.4101","2.6301","1333.9676","26304.0268","506.5876","359.2271","3592.6136","1395.3327","2294.8604","1687.4083"
"SEN","01/07/2025","8","974.8794","1469.0781","2.63","1302.1798","26425.3776","396.0169","359.5715","3472.0373","1436.6949","2299.5934","1594.1022"
"SEN","01/07/2025","9","996.4251","3162.7836","2.6299","1384.2525","26736.0628","397.6031","359.5195","3063.2042","1467.0565","2362.477","1564.7"
"SEN","01/07/2025","10","954.4316","4512.573","2.8644","1403.7924","26800.1165","384.1357","358.6897","3064.3935","1192.4617","2426.9058","1615.1876"
"SEN","01/07/2025","11","987.6399","5398.185","2.7817","1518.898","26792.0979","383.0395","357.6111","3067.029","1173.4014","2481.754","1552.5357"
"SEN","01/07/2025","12","1103.3262","5838.3862","2.6398","1600.655","26652.7506","389.4325","357.2616","3268.4643","1175.7917","2507.1095","1589.7595"
"SEN","01/07/2025","13","1148.7549","5709.5287","3.0211","1600.7383","26578.9931","417.2622","356.8313","3873.8284","1174.6257","2511.9409","1688.0388"
"SEN","01/07/2025","14","1490.147","5518.377","3.0229","1613.3606","26775.2499","483.6937","356.5193","4233.0655","1173.6133","2511.584","1698.1545"
"SEN","01/07/2025","15","1624.7588","5214.5206","3.0174","1620.1863","26967.0932","512.3525","355.6213","4647.6037","1173.4554","2467.791","1705.8279"
"SEN","01/07/2025","16","1606.7567","4794.3742","3.0169","1586.2815","27495.8713","527.3316","353.2514","5062.4606","1174.2226","2405.1362","1727.6638"
