"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: junio 2025"
"Proceso de Liquidacion: Re-Liquidacion Final (L3)"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 02/feb/2026 05:15:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/06/2025","1","678.6634","1.0839","2.8056","1531.1061","28026.1004","692.5614","366.9102","4186.1124","753.3831","2823.2918","2008.2073"
"SEN","01/06/2025","2","875.0113","0.0059","2.8061","1525.5335","27515.3308","689.2876","368.0245","3275.6297","753.3793","2690.5333","2038.329"
"SEN","01/06/2025","3","1177.5947","0.0065","2.8066","1530.1409","26946.7987","693.5091","368.355","2736.0293","753.7247","2430.8179","2018.4104"
"SEN","01/06/2025","4","1097.8924","0.0127","2.8061","1537.764","26303.2846","611.0929","365.574","2703.4665","754.1227","2255.1733","2004.3291"
"SEN","01/06/2025","5","948.7465","0.0158","2.8061","1542.6578","26190.0635","498.9708","364.8833","2412.1577","754.472","2183.0919","1956.5196"
"SEN","01/06/2025","6","984.1327","4.3921","2.8057","1541.1709","25851.7939","404.265","364.9394","2227.0435","754.4944","2176.353","1705.0363"
"SEN","01/06/2025","7","807.6027","218.0037","2.7984","1548.5734","24979.8923","281.4935","365.9108","1901.9899","754.6691","2143.4541","1757.2565"
"SEN","01/06/2025","8","487.8849","1609.4121","2.7925","1553.5443","24104.7989","235.3146","365.4802","1651.3232","754.6359","2166.2042","1661.3783"
"SEN","01/06/2025","9","365.8606","3120.3444","2.7904","1550.1216","23060.9897","164.8972","368.0156","1867.5281","754.2721","2180.5493","1639.2712"
"SEN","01/06/2025","10","175.0132","4197.4875","2.7924","1546.4652","22863.5631","163.4465","366.9296","1814.9696","754.6688","2174.3909","1550.801"
"SEN","01/06/2025","11","172.8885","4633.3601","2.7832","1549.2099","22822.0081","160.5063","365.9635","2004.6246","754.4251","2170.2707","1540.8341"
"SEN","01/06/2025","12","249.121","4517.727","2.7886","1548.3862","23393.7736","160.0814","364.4581","2228.7294","753.153","2132.6722","1553.3145"
"SEN","01/06/2025","13","361.28","4252.8668","2.7253","1549.935","24042.9534","160.3639","361.3076","2503.8336","752.1196","2142.1196","1587.854"
"SEN","01/06/2025","14","654.4025","4180.007","2.6299","1550.4892","24462.3618","160.8677","361.1697","2537.002","751.0572","2134.9787","1698.2971"
"SEN","01/06/2025","15","858.7648","4030.2294","2.7401","1547.6528","25326.2562","161.9834","363.4866","2657.0237","750.1027","2122.6063","1773.4767"
"SEN","01/06/2025","16","1206.4225","3233.4954","2.8025","1548.369","26169.0958","161.5497","361.9939","3209.8979","749.5865","2133.9304","1791.865"
"SEN","01/06/2025","17","1465.0136","2815.6983","2.7992","1542.0326","26653.0792","240.7766","362.2901","3283.0597","749.1991","2355.5907","1742.3242"
