"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: octubre 2025"
"Proceso de Liquidacion: Re-Liquidacion Final (L3)"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 05/jun/2026 05:15:02 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/10/2025","1","1260.1287","0.0529","2.8327","885.0434","25807.3416","543.9627","292.5575","5905.9091","1370.7008","3624.8919","1609.4835"
"SEN","01/10/2025","2","1332.5503","0.0013","2.8324","613.7373","24778.7587","502.8198","294.0096","5875.6861","1370.6856","3550.9372","1431.0412"
"SEN","01/10/2025","3","1011.7312","0.0013","2.8335","534.5623","24488.8628","460.1138","327.3694","5556.1847","1370.8437","3511.4708","1347.0202"
"SEN","01/10/2025","4","786.3743","0.0004","2.8337","561.0332","24304.3067","363.7014","339.0109","5354.6528","1371.1029","3481.5732","1307.7494"
"SEN","01/10/2025","5","774.9936","0.0009","2.8216","669.584","24077.0679","318.8893","335.5087","5178.0211","1371.2748","3481.1211","1292.4584"
"SEN","01/10/2025","6","648.144","0.1899","2.8105","786.2682","24136.9838","308.6706","336.8632","5233.0221","1371.43","3516.5051","1297.1679"
"SEN","01/10/2025","7","499.3737","61.8402","2.8","809.7317","24308.1612","292.1949","337.9205","5430.8328","1371.373","3682.5059","1303.8686"
"SEN","01/10/2025","8","516.9658","1563.6338","2.7292","764.0118","23996.8056","296.0269","337.2841","5123.3549","1371.4832","3631.8025","1339.5169"
"SEN","01/10/2025","9","693.3654","4634.6995","2.738","737.4774","23201.7461","304.2591","336.5962","4329.5317","1371.2435","3444.2399","1352.9044"
"SEN","01/10/2025","10","1050.2378","5897.9967","2.7206","741.8149","22392.1438","302.7333","335.0253","4311.7258","1370.1597","3410.7625","1368.7418"
"SEN","01/10/2025","11","1463.6796","6271.886","1.4032","776.3798","22294.5351","319.2939","330.6269","4092.2173","1369.4783","3448.0883","1378.8527"
"SEN","01/10/2025","12","1698.9483","6440.9546","2.0692","800.6843","22319.8995","353.683","320.5117","4548.7349","1368.8699","3452.5812","1419.7647"
"SEN","01/10/2025","13","1759.4708","6502.5972","2.2339","787.8929","22540.0251","353.2546","311.9813","5038.5726","1368.2917","3493.2356","1461.3936"
"SEN","01/10/2025","14","2143.2355","6436.0588","2.2349","797.3318","22781.6381","418.6465","312.3897","5302.6737","1367.8807","3505.6416","1524.1228"
"SEN","01/10/2025","15","1995.8136","6202.422","2.234","855.6754","23384.524","404.6244","330.9248","5867.1896","1367.7683","3563.931","1569.8139"
